uart_idx,step_idx,t_uart_rel_ms,t_step_rel_ms,t_lag_ms,delta_g,v_true_uL,v_est_uL,v_diff_uL
8,1,15613.0,15863.0,250.0,0.0776887755937756,77.6887755937756,52.94947223531805,-24.739303358457555
10,4,19569.0,20038.0,469.0,0.0384264090570971,38.426409057097096,53.098763256793006,14.67235419969591
12,7,23551.0,24138.0,587.0,0.038500000000000034,38.500000000000036,50.464362128095296,11.96436212809526
13,8,25556.0,25563.0,7.0,0.03933337837837836,39.333378378378356,52.67287456431799,13.339496185939637
15,11,29571.0,29813.0,242.0,0.03883526785714286,38.83526785714287,51.45673678441931,12.621468927276446
17,14,33611.0,33888.0,277.0,0.03839999999999999,38.39999999999999,51.92189523552663,13.521895235526635
18,15,35638.0,35538.0,-100.0,0.03832981651376144,38.329816513761436,52.33053598704175,14.000719473280313
20,18,39706.0,39838.0,132.0,0.07572232142857149,75.72232142857149,52.04249747663615,-23.67982395193534
22,21,43789.0,44138.0,349.0,0.03869999999999996,38.69999999999996,52.069120771083774,13.369120771083814
24,24,47877.0,48438.0,561.0,0.03869999999999996,38.69999999999996,52.09996911741899,13.399969117419033
25,25,49931.0,49963.0,32.0,0.03819639639639627,38.19639639639627,51.54711378291372,13.350717386517452
27,28,54024.0,54288.0,264.0,0.03861126126126124,38.61126126126124,50.822589606554764,12.211328345293524
29,31,58132.0,58638.0,506.0,0.038799999999999946,38.79999999999995,51.397447329650795,12.597447329650848
30,32,60183.0,60088.0,-95.0,0.03869999999999996,38.69999999999996,53.16706315844707,14.467063158447111
32,35,64311.0,64563.0,252.0,0.03859999999999997,38.599999999999966,51.44254951693234,12.842549516932372
34,38,68436.0,69013.0,577.0,0.03863018018018005,38.63018018018005,49.40496701490736,10.774786834727315
35,39,70496.0,70438.0,-58.0,0.038899999999999935,38.899999999999935,51.4116577871302,12.511657787130268
37,42,74631.0,74838.0,207.0,0.03859999999999997,38.599999999999966,50.48611287952793,11.886112879527964
39,45,78791.0,79313.0,522.0,0.03869999999999996,38.69999999999996,51.8581749142087,13.158174914208743
40,46,80863.0,80863.0,0.0,0.03859999999999997,38.599999999999966,51.77332351112741,13.173323511127442
42,49,85020.0,85263.0,243.0,0.03739999999999988,37.39999999999988,54.17077522176507,16.77077522176519
45,53,91276.0,91263.0,-13.0,0.03877805671392798,38.77805671392798,52.88174762623133,14.10369091230335
47,56,95456.0,95788.0,332.0,0.038654166666666434,38.654166666666434,52.207112676193724,13.55294600952729
50,60,101730.0,101838.0,108.0,0.03869999999999996,38.69999999999996,51.860724623861515,13.160724623861555
52,63,105915.0,106313.0,398.0,0.03909999999999991,39.09999999999991,53.5065126371878,14.406512637187888
55,67,112210.0,112363.0,153.0,0.039000000000000146,39.00000000000014,51.010722592658425,12.010722592658283
57,70,116411.0,116963.0,552.0,0.03914500000000043,39.14500000000043,53.14882441315504,14.00382441315461
58,99,160955.0,161513.0,558.0,0.03929999999999989,39.29999999999989,56.87093642381412,17.57093642381423
59,100,163094.0,163088.0,-6.0,0.03929999999999989,39.29999999999989,56.636031247925914,17.336031247926023
61,103,167362.0,167713.0,351.0,0.039261363636363455,39.261363636363455,58.46547708528463,19.204113448921177
64,107,173784.0,173963.0,179.0,0.038899999999999935,38.899999999999935,56.8173531056111,17.917353105611163
