t_ms,mass_g,status
106,-0.0055,D
106,-0.0055,D
106,-0.0055,D
216,-0.0055,D
217,-0.0055,D
326,-0.0055,D
327,-0.0055,D
440,-0.0055,D
440,-0.0055,D
440,-0.0055,D
551,-0.0055,D
551,-0.0055,D
551,-0.0055,D
664,-0.0055,D
664,-0.0055,D
774,-0.0055,D
774,-0.0055,D
774,-0.0055,D
885,-0.0055,D
885,-0.0055,D
997,-0.0055,D
997,-0.0055,D
997,-0.0055,D
1109,-0.0055,D
1110,-0.0055,D
1222,-0.0055,D
1222,-0.0055,D
1222,-0.0055,D
1334,-0.0055,D
1334,-0.0055,D
1445,-0.0055,S
1445,-0.0055,S
1445,-0.0055,S
1548,-0.0055,S
1548,-0.0055,S
1548,-0.0055,S
1660,-0.0055,D
1660,-0.0056,D
1772,-0.0057,D
1772,-0.0057,D
1772,-0.0057,D
1883,-0.0057,D
1883,-0.0057,D
1996,-0.0057,D
1996,-0.0057,D
1996,-0.0057,D
2108,-0.0057,D
2108,-0.0057,D
2220,-0.0058,D
2220,-0.0058,D
2220,-0.0058,D
2332,-0.0058,D
2332,-0.0058,D
2332,-0.0058,D
2441,-0.0058,D
2442,-0.0058,D
2551,-0.0058,D
2551,-0.0060,D
2551,-0.0061,D
2659,-0.0061,D
2659,-0.0061,D
2768,-0.0061,D
2768,-0.0061,D
2769,-0.0061,D
2878,-0.0061,D
2878,-0.0061,D
2987,-0.0061,D
2987,-0.0061,D
2987,-0.0061,D
3096,-0.0061,D
3096,-0.0061,D
3206,-0.0061,D
3206,-0.0061,D
3315,-0.0061,D
3315,-0.0061,D
3425,-0.0061,D
3425,-0.0061,D
3425,-0.0061,D
3534,-0.0061,D
3534,-0.0061,D
3646,-0.0061,D
3647,-0.0061,D
3647,-0.0061,D
3756,-0.0061,D
3756,-0.0061,D
3867,-0.0061,D
3867,-0.0061,D
3867,-0.0061,D
3976,-0.0061,D
3977,-0.0061,D
4086,-0.0061,D
4086,-0.0062,D
4086,-0.0062,D
4197,-0.0062,D
4197,-0.0062,D
4306,-0.0062,D
4306,-0.0062,D
4306,-0.0062,D
4409,-0.0062,D
4409,-0.0062,D
4521,-0.0062,D
4521,-0.0062,D
4633,-0.0062,D
4633,-0.0062,D
4633,-0.0062,D
4744,-0.0062,D
4744,-0.0062,D
4744,-0.0062,D
4856,-0.0063,D
4856,-0.0063,D
4968,-0.0063,D
4968,-0.0063,D
4969,-0.0063,D
5082,-0.0063,D
5082,-0.0063,D
5194,-0.0063,D
5194,-0.0063,D
5194,-0.0063,D
5306,-0.0063,D
5306,-0.0063,D
5419,-0.0063,D
5419,-0.0063,D
5419,-0.0064,D
5532,-0.0064,D
5532,-0.0064,D
5532,-0.0064,D
5644,-0.0064,D
5645,-0.0064,D
5756,-0.0064,D
5756,-0.0064,D
5756,-0.0064,D
5867,-0.0065,D
5867,-0.0065,D
5980,-0.0065,D
5981,-0.0065,D
5981,-0.0065,D
6093,-0.0065,D
6093,-0.0066,D
6205,-0.0066,D
6205,-0.0066,D
6205,-0.0066,D
6318,-0.0066,D
6318,-0.0066,D
6318,-0.0066,D
6428,-0.0066,D
6428,-0.0066,D
6537,-0.0066,D
6538,-0.0066,D
6538,-0.0066,D
6648,-0.0068,D
6648,-0.0068,D
6758,-0.0068,D
6758,-0.0068,D
6758,-0.0068,D
6870,-0.0068,D
6870,-0.0068,D
6981,-0.0068,D
6981,-0.0068,D
6981,-0.0068,D
7091,-0.0068,D
7091,-0.0068,D
7091,-0.0069,D
7201,-0.0069,D
7201,-0.0069,D
7312,-0.0069,D
7312,-0.0069,D
7312,-0.0069,D
7423,-0.0069,D
7423,-0.0069,D
7534,-0.0069,D
7534,-0.0069,D
7534,-0.0069,D
7644,-0.0069,D
7645,-0.0069,D
7755,-0.0069,D
7755,-0.0069,D
7755,-0.0069,D
7866,-0.0069,D
7866,-0.0069,D
7975,-0.0069,D
7976,-0.0069,D
7976,-0.0069,D
8086,-0.0069,D
8086,0.0140,D
8196,0.0311,D
8196,0.0319,D
8196,0.0319,D
8307,0.0317,D
8307,0.0314,D
8417,0.0311,D
8417,0.0312,D
8417,0.0329,D
8527,0.0361,D
8528,0.0404,D
8637,0.0449,D
8638,0.0492,D
8638,0.0528,D
8747,0.0555,D
8748,0.0677,D
8858,0.0855,D
8858,0.0891,D
8858,0.0910,D
8969,0.0923,D
8969,0.0931,D
9078,0.0936,D
9078,0.0938,D
9078,0.0939,D
9187,0.0939,D
9187,0.0940,D
9297,0.1257,D
9297,0.1322,D
9297,0.1338,D
9408,0.1345,D
9408,0.1347,D
9408,0.1348,D
9517,0.1347,D
9518,0.1346,D
9627,0.1343,D
9627,0.1340,D
9627,0.1343,D
9735,0.1362,D
9735,0.1397,D
9845,0.1442,D
9845,0.1490,D
9845,0.1533,D
9954,0.1569,D
9955,0.1601,D
10066,0.1628,D
10066,0.1650,D
10066,0.1759,D
10176,0.1949,D
10176,0.2019,D
10287,0.2071,D
10287,0.2151,D
10397,0.2153,D
10397,0.2153,D
10397,0.2153,D
10507,0.2154,D
10507,0.2153,D
10507,0.2150,D
10618,0.2159,D
10618,0.2191,D
10728,0.2241,D
10728,0.2301,D
10728,0.2358,D
10838,0.2406,D
10838,0.2444,D
10948,0.2472,D
10948,0.2493,D
10948,0.2508,D
11058,0.2519,D
11058,0.2609,D
11169,0.2852,D
11169,0.2895,D
11169,0.2921,D
11278,0.2938,D
11279,0.2949,D
11389,0.2956,D
11389,0.2960,D
11389,0.2962,D
11499,0.2963,D
11500,0.3215,D
11609,0.3296,D
11609,0.3337,D
11609,0.3353,D
11719,0.3361,D
11719,0.3366,D
11828,0.3369,D
11829,0.3371,D
11829,0.3371,D
11940,0.3370,D
11940,0.3369,D
11940,0.3371,D
12051,0.3383,D
12051,0.3408,D
12160,0.3443,D
12160,0.3482,D
12160,0.3667,D
12269,0.3765,D
12269,0.3773,D
12378,0.3773,D
12378,0.3772,D
12488,0.3774,D
12488,0.3796,D
12488,0.3839,D
12597,0.4040,D
12597,0.4168,D
12597,0.4180,D
12708,0.4183,D
12708,0.4181,D
12816,0.4179,D
12816,0.4176,D
12816,0.4174,D
12927,0.4177,D
12927,0.4196,D
13037,0.4235,D
13038,0.4287,D
13038,0.4342,D
13147,0.4392,D
13147,0.4434,D
13256,0.4466,D
13256,0.4490,D
13256,0.4509,D
13366,0.4524,D
13366,0.4637,D
13476,0.4834,D
13477,0.4887,D
13477,0.4921,D
13587,0.4943,D
13587,0.4957,D
13698,0.4967,D
13698,0.4974,D
13698,0.4978,D
13808,0.4980,D
13808,0.5186,D
13918,0.5280,D
13919,0.5336,D
13919,0.5362,D
14029,0.5374,D
14029,0.5381,D
14139,0.5386,D
14139,0.5389,D
14139,0.5390,D
14249,0.5390,D
14250,0.5388,D
14358,0.5388,D
14358,0.5395,D
14358,0.5414,D
14468,0.5444,D
14468,0.5480,D
14578,0.5745,D
14578,0.5786,D
14578,0.5791,D
14688,0.5791,D
14688,0.5790,D
14798,0.5789,D
14799,0.5797,D
14799,0.5824,D
14908,0.5976,D
14908,0.6188,D
15018,0.6191,D
15019,0.6195,D
15019,0.6196,D
15127,0.6196,D
15127,0.6195,D
15127,0.6193,D
15237,0.6193,D
15237,0.6202,D
15346,0.6229,D
15346,0.6275,D
15346,0.6328,D
15457,0.6380,D
15457,0.6426,D
15566,0.6462,D
15566,0.6490,D
15566,0.6511,D
15675,0.6528,D
15675,0.6548,D
15784,0.6804,D
15784,0.6877,D
15893,0.6922,D
15893,0.6952,D
15893,0.6969,D
16003,0.6980,D
16003,0.6987,D
16003,0.6991,D
16112,0.6993,D
16112,0.7050,D
16221,0.7238,D
16221,0.7318,D
16221,0.7367,D
16329,0.7391,D
16329,0.7403,D
16440,0.7406,D
16440,0.7406,D
16440,0.7404,D
16549,0.7403,D
16549,0.7402,D
16661,0.7402,D
16661,0.7404,D
16661,0.7415,D
16769,0.7437,D
16769,0.7470,D
16878,0.7608,D
16878,0.7797,D
16879,0.7804,D
16989,0.7805,D
16989,0.7806,D
17099,0.7806,D
17099,0.7807,D
17208,0.7819,D
17208,0.7849,D
17208,0.8126,D
17317,0.8212,D
17318,0.8215,D
17318,0.8214,D
17428,0.8211,D
17428,0.8210,D
17537,0.8210,D
17537,0.8209,D
17649,0.8210,D
17649,0.8222,D
17649,0.8252,D
17759,0.8298,D
17759,0.8352,D
17759,0.8404,D
17871,0.8448,D
17871,0.8483,D
17981,0.8510,D
17981,0.8531,D
17981,0.8548,D
18091,0.8561,D
18091,0.8778,D
18199,0.8904,D
18200,0.8949,D
18200,0.8979,D
18309,0.8997,D
18309,0.9007,D
18420,0.9011,D
18420,0.9013,D
18530,0.9013,D
18531,0.9090,D
18531,0.9260,D
18641,0.9336,D
18641,0.9384,D
18641,0.9411,D
18750,0.9424,D
18751,0.9428,D
18859,0.9427,D
18860,0.9424,D
18860,0.9421,D
18968,0.9419,D
18968,0.9417,D
19077,0.9419,D
19077,0.9430,D
19077,0.9452,D
19188,0.9484,D
19188,0.9605,D
19299,0.9814,D
19299,0.9818,D
19299,0.9818,D
19410,0.9817,D
19410,0.9817,D
19519,0.9817,D
19519,0.9828,D
19519,0.9856,D
19630,1.0098,D
19630,1.0231,D
19630,1.0233,D
19740,1.0229,D
19740,1.0221,D
19849,1.0217,D
19849,1.0215,D
19849,1.0215,D
19959,1.0217,D
19959,1.0228,D
20069,1.0256,D
20069,1.0302,D
20069,1.0355,D
20180,1.0408,D
20180,1.0454,D
20290,1.0491,D
20290,1.0520,D
20290,1.0542,D
20392,1.0559,D
20392,1.0573,D
20505,1.0703,D
20505,1.0914,D
20617,1.0962,D
20617,1.0994,D
20617,1.1013,D
20730,1.1023,D
20730,1.1027,D
20730,1.1027,D
20842,1.1027,D
20842,1.1056,D
20953,1.1252,D
20953,1.1331,D
20953,1.1386,D
21065,1.1419,D
21065,1.1438,D
21176,1.1445,D
21177,1.1445,D
21177,1.1442,D
21289,1.1438,D
21289,1.1435,D
21400,1.1434,D
21400,1.1434,D
21400,1.1441,D
21511,1.1459,D
21511,1.1488,D
21511,1.1558,D
21624,1.1835,D
21624,1.1837,D
21736,1.1835,D
21736,1.1832,D
21736,1.1831,D
21847,1.1831,D
21847,1.1838,D
21960,1.1861,D
21960,1.2044,D
21960,1.2254,D
22073,1.2256,D
22073,1.2255,D
22186,1.2249,D
22186,1.2244,D
22186,1.2242,D
22297,1.2240,D
22297,1.2238,D
22298,1.2242,D
22410,1.2261,D
22410,1.2299,D
22519,1.2349,D
22520,1.2402,D
22520,1.2451,D
22630,1.2492,D
22630,1.2524,D
22740,1.2549,D
22740,1.2569,D
22740,1.2585,D
22851,1.2598,D
22851,1.2872,D
22963,1.2960,D
22963,1.3000,D
22963,1.3025,D
23072,1.3037,D
23072,1.3042,D
23183,1.3043,D
23183,1.3043,D
23183,1.3043,D
23292,1.3205,D
23292,1.3308,D
23401,1.3377,D
23401,1.3423,D
23510,1.3449,D
23510,1.3462,D
23510,1.3466,D
23621,1.3465,D
23621,1.3461,D
23621,1.3456,D
23732,1.3452,D
23732,1.3448,D
23732,1.3448,D
23844,1.3458,D
23844,1.3479,D
23954,1.3509,D
23954,1.3543,D
23954,1.3799,D
24066,1.3835,D
24066,1.3839,D
24177,1.3839,D
24177,1.3838,D
24289,1.3837,D
24289,1.3852,D
24289,1.3886,D
24391,1.4233,D
24391,1.4259,D
24502,1.4256,D
24503,1.4249,D
24503,1.4243,D
24615,1.4241,D
24615,1.4241,D
24615,1.4241,D
24727,1.4241,D
24727,1.4249,D
24839,1.4275,D
24840,1.4317,D
24840,1.4368,D
24951,1.4420,D
24951,1.4466,D
25064,1.4504,D
25064,1.4533,D
25064,1.4556,D
25175,1.4574,D
25175,1.4589,D
25175,1.4634,D
25289,1.4936,D
25289,1.4985,D
25400,1.5017,D
25400,1.5035,D
25513,1.5043,D
25513,1.5046,D
25513,1.5047,D
25625,1.5046,D
25625,1.5071,D
25625,1.5248,D
25738,1.5329,D
25738,1.5394,D
25849,1.5434,D
25849,1.5456,D
25849,1.5465,D
25958,1.5465,D
25958,1.5462,D
26067,1.5459,D
26067,1.5455,D
26067,1.5453,D
26178,1.5452,D
26178,1.5455,D
26287,1.5469,D
26288,1.5494,D
26288,1.5526,D
26399,1.5834,D
26399,1.5854,D
26509,1.5854,D
26509,1.5855,D
26509,1.5855,D
26619,1.5855,D
26619,1.5856,D
26619,1.5870,D
26729,1.6006,D
26729,1.6275,D
26838,1.6277,D
26838,1.6271,D
26838,1.6263,D
26947,1.6256,D
26947,1.6254,D
27057,1.6255,D
27057,1.6255,D
27166,1.6256,D
27166,1.6267,D
27166,1.6296,D
27277,1.6341,D
27277,1.6393,D
27277,1.6443,D
27388,1.6488,D
27388,1.6523,D
27497,1.6551,D
27497,1.6574,D
27497,1.6592,D
27608,1.6606,D
27608,1.6690,D
27718,1.6956,D
27718,1.7004,D
27718,1.7033,D
27829,1.7050,D
27829,1.7057,D
27939,1.7060,D
27939,1.7060,D
27939,1.7061,D
28049,1.7095,D
28050,1.7268,D
28158,1.7352,D
28158,1.7415,D
28158,1.7453,D
28268,1.7471,D
28268,1.7478,D
28376,1.7477,D
28376,1.7473,D
28376,1.7470,D
28488,1.7469,D
28488,1.7468,D
28599,1.7468,D
28599,1.7472,D
28599,1.7486,D
28710,1.7511,D
28710,1.7543,D
28823,1.7846,D
28823,1.7867,D
28823,1.7869,D
28935,1.7872,D
28936,1.7873,D
28936,1.7872,D
29048,1.7871,D
29048,1.7882,D
29161,1.7994,D
29161,1.8284,D
29161,1.8285,D
29275,1.8281,D
29275,1.8275,D
29387,1.8272,D
29388,1.8275,D
29388,1.8277,D
29500,1.8276,D
29500,1.8275,D
29500,1.8282,D
29613,1.8307,D
29613,1.8349,D
29724,1.8400,D
29724,1.8450,D
29724,1.8495,D
29836,1.8531,D
29836,1.8560,D
29949,1.8583,D
29949,1.8602,D
29949,1.8617,D
30062,1.8713,D
30062,1.8961,D
30173,1.9010,D
30173,1.9041,D
30173,1.9059,D
30285,1.9068,D
30285,1.9073,D
30285,1.9076,D
30398,1.9078,D
30398,1.9086,D
30509,1.9264,D
30509,1.9352,D
30509,1.9420,D
30621,1.9462,D
30621,1.9483,D
30732,1.9490,D
30732,1.9490,D
30841,1.9486,D
30841,1.9483,D
30841,1.9482,D
30951,1.9482,D
30951,1.9481,D
30951,1.9483,D
31063,1.9494,D
31063,1.9516,D
31174,1.9546,D
31174,1.9740,D
31174,1.9872,D
31283,1.9880,D
31283,1.9885,D
31394,1.9888,D
31394,1.9886,D
31394,1.9884,D
31505,1.9891,D
31505,1.9936,D
31615,2.0294,D
31615,2.0301,D
31615,2.0296,D
31725,2.0289,D
31726,2.0285,D
31836,2.0287,D
31836,2.0290,D
31836,2.0290,D
31946,2.0288,D
31946,2.0291,D
31946,2.0310,D
32056,2.0347,D
32056,2.0396,D
32165,2.0447,D
32166,2.0494,D
32166,2.0533,D
32275,2.0564,D
32276,2.0589,D
32386,2.0609,D
32386,2.0626,D
32386,2.0639,D
32496,2.0920,D
32496,2.1009,D
32607,2.1048,D
32607,2.1070,D
32607,2.1081,D
32718,2.1096,D
32718,2.1103,D
32827,2.1097,D
32827,2.1089,D
32937,2.1087,D
32937,2.1403,D
32937,2.1629,D
33047,2.1583,D
33047,2.1550,D
33047,2.1516,D
33156,2.1492,D
33157,2.1485,D
33264,2.1493,D
33265,2.1502,D
33374,2.1504,D
33374,2.1501,D
33374,2.1503,D
33483,2.1527,D
33483,2.1577,D
33483,2.1641,D
33591,2.1703,D
33592,2.1756,D
33701,2.1797,D
33701,2.1829,D
33701,2.1853,D
33809,2.1869,D
33809,2.1881,D
33920,2.1888,D
33920,2.1894,D
33920,2.1901,D
34029,2.1912,D
34029,2.1980,D
34140,2.2048,D
34140,2.2150,D
34250,2.2312,D
34250,2.2318,D
34250,2.2315,D
34359,2.2309,D
34359,2.2511,D
34359,2.2682,D
34468,2.2727,D
34468,2.2744,D
34577,2.2747,D
34577,2.2742,D
34577,2.2733,D
34687,2.2725,D
34687,2.2721,D
34797,2.2720,D
34797,2.2717,D
34797,2.2715,D
34906,2.2718,D
34907,2.2732,D
35016,2.2760,D
35016,2.2795,D
35016,2.2833,D
35126,2.2871,D
35126,2.2907,D
35235,2.2940,D
35235,2.2968,D
35235,2.2993,D
35343,2.3082,D
35343,2.3281,D
35451,2.3354,D
35452,2.3515,D
35452,2.3528,D
35562,2.3523,D
35562,2.3517,D
35671,2.3515,D
