abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,v_cmps,d_0.1mm,V_0.1uL,state,Q_cmLph,top_raw,bot_raw
85648,5,9942,4811,7448,96,61,1160,1,0,3867,3372
88255,6,9954,4830,7377,96,60,1140,1,0,3866,3374
90883,7,10009,4839,7314,95,60,1105,1,0,3866,3374
93524,8,9926,4803,7393,96,60,1147,1,0,3867,3371
96182,9,9925,4778,7430,96,60,1151,1,0,3866,3370
98824,10,9910,4779,7444,96,61,1161,1,0,3866,3371
101508,11,9933,4856,7347,96,60,1147,2,0,3872,3371
104195,12,9917,4780,7434,96,60,1156,2,1376,3866,3370
106880,13,9985,4761,7329,95,59,1096,2,2753,3872,3374
109599,14,9912,4784,7355,96,60,1136,2,4129,3866,3371
112316,15,9879,4750,7347,96,60,1136,2,5506,3872,3371
115036,16,9869,4720,7546,96,61,1190,2,6882,3866,3375
117775,17,9755,4721,7565,98,62,1241,2,8258,3872,3369
120527,18,9818,4750,7643,97,62,1248,2,9635,3872,3369
123284,19,9847,4890,7556,97,62,1253,2,11011,3867,3369
126043,20,9397,4398,8042,102,65,1453,2,12387,3872,3369
128828,21,9644,4801,8382,99,67,1600,2,13764,3867,3370
131606,22,9628,4783,8211,99,66,1539,2,13764,3866,3370
134408,23,9656,4823,8219,99,67,1542,2,13764,3872,3371
137204,24,9516,4613,8139,100,66,1507,2,13764,3872,3371
139983,25,9569,4679,8342,100,67,1579,2,13764,3872,3372
142810,26,9586,4688,8250,100,66,1539,2,13764,3867,3370
145644,27,9544,4692,8295,100,67,1579,2,13764,3872,3369
148483,28,9621,4767,8294,99,67,1567,2,13764,3872,3369
151333,29,9540,4689,8370,100,67,1608,2,13764,3872,3369
154198,30,9595,4748,8279,100,67,1567,2,13764,3872,3370
157058,31,9593,4745,8469,100,68,1640,2,13764,3872,3371
220010,32,9611,4806,8055,99,66,1498,2,0,3866,3374
223155,33,9653,4756,7869,99,64,1396,2,1376,3872,3371
226305,34,9624,4742,7780,99,64,1374,2,2753,3867,3373
258102,35,10485,5639,7547,90,62,1225,2,0,3867,3373
261363,36,10608,5644,7442,89,60,1152,2,1376,3868,3375
264638,37,10390,5309,7458,91,60,1141,2,2753,3872,3370
267924,38,9953,4957,7463,96,61,1203,2,4129,3867,3371
271210,39,9856,4858,7595,97,62,1252,2,5506,3866,3373
277772,40,9875,4804,7588,96,62,1225,2,6882,3867,3371
281061,41,9870,4712,7468,96,61,1164,2,8258,3867,3375
284373,42,9675,4621,7731,99,63,1295,2,9635,3872,3371
297782,43,9853,4776,7522,97,61,1206,2,6882,3866,3369
311291,44,9924,5027,7590,96,62,1275,2,2753,3866,3375
314701,45,9812,4912,7546,97,62,1272,2,2753,3869,3374
321579,46,9844,4816,7676,97,62,1269,2,4129,3872,3375
325008,47,9918,4835,7536,96,61,1202,2,5506,3872,3375
328441,48,9880,4810,7490,96,61,1196,2,5506,3866,3370
331899,49,9923,4860,7580,96,62,1221,2,6882,3866,3370
335346,50,9808,4761,7501,97,61,1212,2,8258,3872,3374
338832,51,9870,4874,7492,96,62,1219,2,9635,3867,3370
342307,52,9888,4902,7540,96,62,1236,2,9635,3872,3372
345793,53,9894,4850,7515,96,61,1209,2,9635,3866,3374
349317,54,9846,4853,7566,97,62,1245,2,11011,3866,3370
352843,55,9737,4760,7667,98,63,1293,2,11011,3872,3374
356340,56,9829,4768,7573,97,62,1228,2,11011,3872,3370
359869,57,9819,4765,7497,97,61,1208,2,11011,3872,3371
363383,58,9896,4885,7573,96,62,1237,2,11011,3872,3370
366901,59,9870,4925,7605,96,62,1270,2,11011,3867,3371
370450,60,9856,4840,7696,97,62,1278,2,11011,3872,3375
377565,61,9862,4820,7499,97,61,1208,2,9635,3872,3374
381110,62,9728,4813,8310,98,66,1535,2,9635,3869,3371
384686,63,9736,4832,8247,98,66,1515,2,9635,3872,3373
388259,64,9694,4755,8273,98,66,1518,2,9635,3872,3373
391849,65,9746,4832,8238,98,66,1507,2,9635,3872,3371
395428,66,9675,4826,8052,99,66,1473,2,9635,3872,3370
398995,67,9819,4982,7677,97,63,1333,2,9635,3866,3373
402582,68,9838,4956,7563,97,63,1280,2,9635,3866,3370
406209,69,9720,4758,7754,98,63,1328,2,11011,3873,3375
409813,70,9829,4834,7622,97,62,1264,2,11011,3872,3370
413428,71,9829,4842,7615,97,62,1264,2,11011,3872,3370
417083,72,9863,4853,7657,97,62,1267,2,11011,3866,3375
420725,73,9745,4767,7718,98,63,1308,2,11011,3872,3371
424379,74,9799,4889,7881,97,64,1378,2,11011,3872,3373
428029,75,9772,4761,7693,98,63,1287,2,11011,3872,3375
431686,76,9806,4852,7641,97,63,1285,2,11011,3866,3375
435357,77,9798,4826,7599,97,62,1267,2,11011,3872,3370
439051,78,9830,4838,7617,97,62,1263,2,11011,3872,3370
442748,79,9720,4750,7600,98,62,1276,2,11011,3872,3375
446453,80,9794,4890,7786,97,64,1349,2,11011,3872,3374
453878,81,9716,4794,7750,98,63,1340,2,9635,3873,3374
10361,1,10544,6045,7512,90,63,1311,1,0,3881,3387
14258,2,10557,6097,7621,90,64,1355,1,0,3887,3394
18133,3,10407,6047,10343,91,78,2471,1,0,3881,3386
22039,4,10466,5955,7635,90,64,1353,1,0,3887,3384
25945,5,9632,4447,7668,99,62,1237,1,0,3882,3386
29836,6,9532,4338,7654,100,62,1240,1,0,3883,3384
33753,7,9525,4380,7659,100,62,1257,1,0,3883,3386
37680,8,9538,4366,7557,100,61,1215,1,0,3883,3384
41613,9,9565,4381,7618,100,62,1228,1,0,3885,3392
45549,10,9637,4443,7595,99,61,1211,1,0,3882,3387
49489,11,9591,4417,7595,100,62,1222,2,0,3885,3387
53412,12,9616,4407,7596,99,61,1209,2,1530,3881,3386
57326,13,9492,4241,7517,101,61,1182,2,3059,3881,3387
61308,14,9380,4211,7577,102,62,1238,2,4589,3882,3384
65263,15,9556,4376,7671,100,62,1247,2,6118,3882,3387
69211,16,9556,4350,7654,100,62,1234,2,7648,3881,3384
