uart_idx,step_idx,t_uart_rel_ms,t_step_rel_ms,t_lag_ms,delta_g,v_true_uL,v_est_uL,v_diff_uL
2,2,5235.0,5754.0,519.0,0.040200000000000014,40.20000000000002,124.33333318311671,84.13333318311669
3,3,7876.0,7779.0,-97.0,0.03989999999999999,39.89999999999999,128.8364011923645,88.9364011923645
6,7,15860.0,15929.0,69.0,0.040099999999999913,40.099999999999916,128.78571041873997,88.68571041874006
9,11,23951.0,24154.0,203.0,0.040100000000000025,40.10000000000002,127.57747569709306,87.47747569709304
12,15,32127.0,32429.0,302.0,0.040100000000000025,40.10000000000002,138.7582654706867,98.65826547068667
15,19,40395.0,40904.0,509.0,0.04008873873873875,40.08873873873875,161.1397223871919,121.05098364845315
18,23,48760.0,49354.0,594.0,0.039193805309734486,39.193805309734486,171.1393849837785,131.94557967404404
19,24,51556.0,51479.0,-77.0,0.04059999999999997,40.599999999999966,167.14014040774396,126.54014040774399
22,28,59996.0,60129.0,133.0,0.03950000000000009,39.50000000000009,175.0025513235926,135.5025513235925
25,32,68550.0,68854.0,304.0,0.03970000000000007,39.70000000000007,173.82308473619736,134.12308473619728
28,62,137507.0,137529.0,22.0,0.03949999999999987,39.49999999999987,155.38761196903891,115.88761196903904
31,78,175715.0,176229.0,514.0,0.039599999999999635,39.59999999999964,130.3855205792068,90.78552057920716
34,82,185562.0,186104.0,542.0,0.040200000000000014,40.20000000000002,140.09706287810658,99.89706287810657
40,99,229053.0,229204.0,151.0,0.03979181818181843,39.79181818181843,142.1613410404039,102.36952285858547
42,103,239360.0,239604.0,244.0,0.039450458715595715,39.450458715595715,134.78800936902425,95.33755065342854
45,107,249698.0,250054.0,356.0,0.04019999999999957,40.19999999999957,135.72245741417973,95.52245741418017
48,111,260145.0,260654.0,509.0,0.039629217171716746,39.629217171716746,135.5738079740714,95.94459080235465
51,115,270692.0,271204.0,512.0,0.03950000000000031,39.50000000000031,137.4776824490888,97.97768244908849
60,128,306201.0,306104.0,-97.0,0.03995000000000015,39.95000000000015,167.51615350594102,127.56615350594086
63,132,316934.0,317004.0,70.0,0.03947110091743067,39.47110091743067,143.11910583552623,103.64800491809555
66,136,327780.0,327954.0,174.0,0.039699999999999847,39.69999999999985,141.39092598972974,101.69092598972989
69,140,338731.0,338979.0,248.0,0.039400000000000546,39.400000000000546,153.72219226079915,114.3221922607986
72,144,349709.0,350054.0,345.0,0.039499999999999424,39.499999999999424,141.64003893222534,102.1400389322259
75,148,360805.0,361129.0,324.0,0.0395950892857142,39.5950892857142,150.5828606008304,110.98777131511619
