t_ms,mass_g,status
104,0.3372,D
104,0.3368,D
215,0.3364,D
215,0.3361,D
215,0.3358,D
325,0.3356,D
325,0.3354,D
437,0.3353,D
437,0.3352,D
437,0.3351,D
545,0.3350,D
546,0.3349,D
546,0.3348,D
653,0.3348,D
653,0.3348,D
763,0.3348,D
763,0.3348,D
873,0.3348,D
873,0.3348,D
873,0.3348,D
983,0.3347,D
983,0.3347,D
1094,0.3347,D
1094,0.3347,D
1094,0.3347,D
1205,0.3347,D
1205,0.3347,D
1205,0.3347,D
1313,0.3347,D
1313,0.3347,D
1423,0.3347,D
1423,0.3347,D
1532,0.3347,D
1532,0.3347,D
1532,0.3347,D
1643,0.3347,D
1643,0.3347,D
1644,0.3347,D
1754,0.3347,D
1754,0.3401,D
1864,0.3806,D
1864,0.3806,D
1864,0.3797,D
1976,0.3789,D
1976,0.3782,D
1977,0.3776,D
2089,0.3771,D
2089,0.3767,D
2202,0.3764,D
2202,0.3761,D
2314,0.3759,D
2314,0.3757,D
2314,0.3755,D
2426,0.3754,D
2426,0.3753,D
2538,0.3752,D
2538,0.3751,D
2538,0.3749,D
2650,0.3749,D
2650,0.3749,D
2650,0.3749,D
2764,0.3748,D
2764,0.3748,D
2764,0.3748,D
2876,0.3747,D
2876,0.3747,D
2989,0.3747,D
2989,0.3747,D
3100,0.3747,D
3100,0.3747,D
3100,0.3747,D
3212,0.3747,D
3212,0.3747,D
3212,0.3747,D
3323,0.3747,D
3323,0.3747,D
3436,0.3747,D
3436,0.3747,D
3548,0.3747,D
3548,0.3747,D
3548,0.3747,D
3660,0.3747,D
3660,0.3747,D
3660,0.3747,D
3771,0.3747,D
3771,0.3973,D
3883,0.4201,D
3883,0.4201,D
3883,0.4193,D
3995,0.4185,D
3995,0.4179,D
4105,0.4173,D
4105,0.4169,D
4105,0.4165,D
4215,0.4161,D
4215,0.4158,D
4215,0.4156,D
4325,0.4154,D
4325,0.4153,D
4435,0.4152,D
4435,0.4151,D
4544,0.4148,D
4544,0.4147,D
4655,0.4147,D
4655,0.4147,D
4655,0.4147,D
4765,0.4147,D
4765,0.4146,D
4875,0.4146,D
4875,0.4146,D
4875,0.4145,D
4984,0.4145,D
4984,0.4145,D
5094,0.4145,D
5094,0.4145,D
5094,0.4145,D
5204,0.4145,D
5204,0.4145,D
5314,0.4145,D
5314,0.4145,D
5314,0.4145,D
5424,0.4145,D
5424,0.4145,D
5533,0.4145,D
5533,0.4145,D
5643,0.4145,D
5644,0.4145,D
5644,0.4145,D
5753,0.4145,D
5753,0.4145,D
5753,0.4371,D
5863,0.4599,D
5863,0.4599,D
5976,0.4592,D
5976,0.4584,D
5976,0.4578,D
6089,0.4572,D
6089,0.4567,D
6202,0.4563,D
6202,0.4560,D
6202,0.4557,D
6314,0.4555,D
6314,0.4554,D
6426,0.4552,D
6426,0.4551,D
6426,0.4550,D
6539,0.4550,D
6539,0.4548,D
6539,0.4547,D
6650,0.4547,D
6651,0.4547,D
6762,0.4547,D
6762,0.4547,D
6762,0.4547,D
6873,0.4547,D
6874,0.4547,D
6985,0.4547,D
6985,0.4547,D
6985,0.4547,D
7097,0.4547,D
7097,0.4547,D
7210,0.4547,D
7211,0.4547,D
7211,0.4547,D
7322,0.4547,D
7322,0.4547,D
7322,0.4547,D
7435,0.4547,D
7435,0.4547,D
7546,0.4547,D
7546,0.4547,D
7546,0.4547,D
7659,0.4547,D
7659,0.4547,D
7771,0.4547,D
7771,0.4547,D
7771,0.4714,D
7882,0.5003,D
7882,0.5003,D
7992,0.4995,D
7993,0.4987,D
7993,0.4980,D
8103,0.4974,D
8103,0.4969,D
8103,0.4965,D
8214,0.4962,D
