t_ms,mass_g,status
119,14.5205,D
119,14.5205,D
119,14.5205,D
228,14.5205,D
228,14.5204,D
228,14.5204,D
338,14.5204,D
338,14.5204,D
448,14.5204,D
448,14.5204,D
448,14.5204,D
556,14.5204,D
556,14.5204,D
665,14.5617,D
665,14.5650,D
665,14.5651,D
774,14.5647,D
774,14.5640,D
895,14.5632,D
895,14.5627,D
895,14.5623,D
1007,14.5620,D
1007,14.5617,D
1119,14.5614,D
1120,14.5611,D
1120,14.5610,D
1232,14.5608,D
1232,14.5608,D
1232,14.5608,D
1343,14.5607,D
1343,14.5607,D
1455,14.5607,D
1455,14.5607,D
1455,14.5607,D
1567,14.5607,D
1568,14.5607,D
1680,14.5607,D
1680,14.5607,D
1680,14.5606,D
1792,14.5606,D
1792,14.5606,D
1903,14.5605,D
1903,14.5605,D
2015,14.5605,D
2015,14.5605,D
2015,14.5605,D
2015,14.5605,D
2127,14.5605,D
2127,14.5605,D
2240,14.5605,D
2240,14.5605,D
2240,14.5605,D
2352,14.5605,D
2352,14.5605,D
2464,14.5605,D
2464,14.5605,D
2464,14.5605,D
2576,14.5605,D
2576,14.5605,D
2689,14.5605,D
2689,14.5605,D
2689,14.5605,D
2802,14.5605,D
2802,14.5605,D
2802,14.5605,D
2914,14.5605,D
2914,14.5605,D
3023,14.5605,D
3023,14.5605,D
3023,14.5605,D
3133,14.5605,D
3133,14.5605,D
3241,14.5605,D
3241,14.5605,D
3241,14.5605,D
3351,14.5605,D
3351,14.5605,D
3458,14.5605,D
3458,14.5605,D
3567,14.5605,D
3567,14.5605,D
3567,14.5605,D
3675,14.5605,D
3675,14.5605,D
3675,14.5707,D
3783,14.6047,D
3783,14.6053,D
3891,14.6052,D
3891,14.6047,D
3891,14.6040,D
4000,14.6033,D
4000,14.6028,D
4109,14.6025,D
4109,14.6023,D
4217,14.6021,D
4217,14.6019,D
4217,14.6017,D
4327,14.6015,D
4327,14.6014,D
4436,14.6013,D
4436,14.6012,D
4436,14.6011,D
4544,14.6010,D
4544,14.6008,D
4652,14.6008,D
4652,14.6008,D
4652,14.6008,D
4761,14.6008,D
4761,14.6007,D
4871,14.6007,D
4871,14.6007,D
4871,14.6007,D
4981,14.6007,D
4981,14.6007,D
5092,14.6007,D
5092,14.6007,D
5092,14.6007,D
5204,14.6007,D
5204,14.6007,D
5204,14.6007,D
5316,14.6006,D
5316,14.6006,D
5428,14.6006,D
5428,14.6006,D
5428,14.6006,D
5540,14.6006,D
5541,14.6006,D
5653,14.6006,D
5654,14.6006,D
5654,14.6006,D
5766,14.6006,D
5766,14.6006,D
5878,14.6006,D
5878,14.6006,D
5878,14.6006,D
5990,14.6006,D
5990,14.6006,D
5990,14.6006,D
6103,14.6006,D
6103,14.6006,D
6214,14.6005,D
6214,14.6005,D
6214,14.6005,D
6325,14.6005,D
6325,14.6005,D
6436,14.6005,D
6436,14.6005,D
6436,14.6005,D
6546,14.6005,D
6546,14.6005,D
6657,14.6005,D
6657,14.6005,D
6657,14.6005,D
6768,14.6005,D
6768,14.6005,D
6878,14.6005,D
6878,14.6081,D
6878,14.6447,D
6990,14.6453,D
6990,14.6451,D
7101,14.6446,D
7101,14.6438,D
7101,14.6432,D
7213,14.6427,D
7213,14.6423,D
7213,14.6421,D
7323,14.6419,D
7323,14.6417,D
7434,14.6415,D
7434,14.6414,D
7434,14.6412,D
7545,14.6411,D
7545,14.6410,D
7656,14.6410,D
7656,14.6408,D
7767,14.6407,D
7767,14.6406,D
7767,14.6406,D
7878,14.6406,D
7878,14.6406,D
7878,14.6405,D
7990,14.6405,D
7990,14.6405,D
8101,14.6405,D
8101,14.6404,D
8101,14.6404,D
8210,14.6404,D
8210,14.6404,D
8321,14.6404,D
8321,14.6404,D
8321,14.6404,D
8432,14.6404,D
8432,14.6404,D
8542,14.6404,D
8542,14.6404,D
8542,14.6404,D
8653,14.6404,D
8653,14.6404,D
8653,14.6404,D
8764,14.6404,D
8764,14.6404,D
8875,14.6404,D
8876,14.6403,D
8876,14.6403,D
8986,14.6403,D
8986,14.6403,D
9095,14.6403,D
9096,14.6403,D
9096,14.6403,D
9204,14.6403,D
9204,14.6403,D
9314,14.6403,D
9314,14.6403,D
9314,14.6403,D
9422,14.6403,D
9422,14.6403,D
9531,14.6403,D
9531,14.6403,D
9531,14.6403,D
9641,14.6403,D
9641,14.6403,D
9751,14.6403,D
9751,14.6403,D
9861,14.6403,D
9861,14.6403,D
9861,14.6403,D
9972,14.6402,D
9972,14.6402,D
10084,14.6453,D
10084,14.6843,D
10084,14.6850,D
10195,14.6849,D
10195,14.6844,D
10195,14.6837,D
10304,14.6830,D
10304,14.6825,D
10414,14.6821,D
10414,14.6819,D
10414,14.6817,D
10523,14.6815,D
10523,14.6813,D
10632,14.6811,D
10632,14.6810,D
10632,14.6809,D
10741,14.6808,D
10741,14.6807,D
10852,14.6806,D
10852,14.6804,D
10852,14.6804,D
10961,14.6804,D
10961,14.6804,D
11071,14.6804,D
11071,14.6804,D
11071,14.6804,D
11180,14.6804,D
11180,14.6804,D
11291,14.6804,D
11291,14.6804,D
11291,14.6804,D
11399,14.6804,D
11399,14.6804,D
11508,14.6804,D
11508,14.6803,D
11508,14.6803,D
11616,14.6803,D
11616,14.6803,D
11726,14.6803,D
11726,14.6803,D
11726,14.6803,D
11834,14.6803,D
11834,14.6803,D
11944,14.6803,D
11944,14.6803,D
11944,14.6803,D
12053,14.6803,D
12053,14.6803,D
12161,14.6803,D
12161,14.6803,D
12161,14.6803,D
12271,14.6803,D
12271,14.6803,D
12380,14.6803,D
12380,14.6803,D
12489,14.6803,D
12489,14.6803,D
12489,14.6803,D
12597,14.6802,D
12597,14.6802,D
12597,14.6802,D
12705,14.6802,D
12705,14.6802,D
12814,14.6802,D
12814,14.6802,D
12814,14.6802,D
12922,14.6802,D
12922,14.6802,D
13030,14.6802,D
13030,14.6802,D
13030,14.6802,D
13139,14.6802,D
13139,14.6828,D
13249,14.7240,D
13249,14.7242,D
13249,14.7236,D
13359,14.7232,D
13359,14.7231,D
13468,14.7231,D
13468,14.7231,D
13468,14.7229,D
13577,14.7227,D
13577,14.7223,D
13686,14.7220,D
13686,14.7216,D
13797,14.7214,D
13797,14.7212,D
13797,14.7210,D
13905,14.7209,D
13905,14.7208,D
14015,14.7207,D
14015,14.7207,D
14015,14.7206,D
14124,14.7204,D
14124,14.7203,D
14124,14.7203,D
14233,14.7203,D
14233,14.7203,D
14345,14.7202,D
14345,14.7202,D
14345,14.7202,D
14454,14.7202,D
14454,14.7202,D
14565,14.7202,D
14565,14.7202,D
14565,14.7202,D
14673,14.7202,D
14673,14.7202,D
14782,14.7202,D
14782,14.7202,D
14782,14.7202,D
14896,14.7202,D
14896,14.7201,D
15007,14.7200,D
15008,14.7200,D
15008,14.7200,D
15119,14.7200,D
15119,14.7200,D
15119,14.7200,D
15231,14.7200,D
15231,14.7200,D
15342,14.7200,D
15342,14.7200,D
15342,14.7200,D
15454,14.7200,D
15454,14.7200,D
15567,14.7200,D
15567,14.7200,D
15567,14.7200,D
15680,14.7200,D
15680,14.7201,D
15791,14.7201,D
15791,14.7201,D
15791,14.7201,D
15904,14.7201,D
15904,14.7201,D
16016,14.7201,D
16016,14.7201,D
16017,14.7201,D
16128,14.7201,D
16128,14.7200,D
16128,14.7200,D
16240,14.7200,D
16240,14.7200,D
16352,14.7250,D
16352,14.7636,D
16352,14.7642,D
16465,14.7641,D
16465,14.7636,D
16577,14.7629,D
16577,14.7622,D
16577,14.7617,D
16690,14.7614,D
16690,14.7611,D
16690,14.7609,D
16803,14.7607,D
16803,14.7605,D
16915,14.7603,D
16915,14.7602,D
16915,14.7601,D
17024,14.7600,D
17024,14.7599,D
17133,14.7598,D
17133,14.7596,D
17133,14.7596,D
17242,14.7595,D
17242,14.7595,D
17352,14.7595,D
17353,14.7594,D
17463,14.7594,D
17463,14.7594,D
17463,14.7594,D
17573,14.7594,D
17573,14.7594,D
17573,14.7593,D
17681,14.7593,D
17681,14.7593,D
17790,14.7593,D
17790,14.7593,D
17790,14.7593,D
17900,14.7593,D
17900,14.7593,D
18008,14.7593,D
18008,14.7592,D
18008,14.7592,D
18118,14.7592,D
18118,14.7592,D
18227,14.7592,D
18227,14.7592,D
18227,14.7592,D
18335,14.7592,D
18335,14.7592,D
18443,14.7592,D
18444,14.7592,D
18552,14.7592,D
18552,14.7591,D
18552,14.7591,D
18662,14.7591,D
18662,14.7591,D
18771,14.7591,D
18771,14.7591,D
18771,14.7591,D
18882,14.7591,D
18883,14.7591,D
18883,14.7591,D
18992,14.7591,D
18992,14.7590,D
19101,14.7590,D
19101,14.7590,D
19101,14.7590,D
19211,14.7590,D
19211,14.7590,D
19321,14.7590,D
19321,14.7590,D
19321,14.7590,D
19433,14.7590,D
19433,14.7616,D
19543,14.8038,D
19543,14.8046,D
19543,14.8045,D
19651,14.8039,D
19651,14.8032,D
19761,14.8025,D
19761,14.8020,D
19761,14.8016,D
19871,14.8014,D
19871,14.8012,D
19982,14.8010,D
19982,14.8008,D
20091,14.8006,D
20091,14.8004,D
20091,14.8003,D
20201,14.8002,D
20201,14.8002,D
20201,14.8001,D
20310,14.7999,D
20310,14.7998,D
20420,14.7998,D
20420,14.7998,D
20420,14.7998,D
20531,14.7998,D
20531,14.7998,D
20638,14.7998,D
20638,14.7998,D
20638,14.7998,D
20748,14.7998,D
20749,14.7998,D
20858,14.7998,D
20858,14.7998,D
20858,14.7998,D
20959,14.7998,D
20959,14.7998,D
21072,14.7998,D
21072,14.7998,D
21072,14.7998,D
21185,14.7998,D
21185,14.7999,D
21297,14.7999,D
21297,14.7999,D
21297,14.7999,D
21409,14.7999,D
21409,14.8000,D
21409,14.8000,D
21522,14.8000,D
21522,14.8000,D
21633,14.8000,D
21633,14.8000,D
21633,14.8000,D
21746,14.8001,D
21746,14.8001,D
21857,14.8001,D
21857,14.8001,D
21857,14.8001,D
21970,14.8001,D
21970,14.8001,D
22082,14.8001,D
22082,14.8001,D
22193,14.8001,D
22193,14.8001,D
22193,14.8001,D
22305,14.8001,D
22305,14.8001,D
22305,14.8001,D
22417,14.8001,D
22417,14.8001,D
22417,14.8000,D
22530,14.8000,D
22530,14.8000,D
22642,14.8000,D
22642,14.8353,D
22642,14.8435,D
22756,14.8439,D
22756,14.8437,D
22868,14.8430,D
22868,14.8423,D
22980,14.8418,D
22980,14.8414,D
22980,14.8411,D
23089,14.8409,D
23089,14.8407,D
23089,14.8405,D
23199,14.8403,D
23199,14.8402,D
23199,14.8401,D
23309,14.8400,D
23309,14.8399,D
23417,14.8398,D
23417,14.8396,D
23526,14.8396,D
23526,14.8396,D
23526,14.8395,D
23636,14.8395,D
23636,14.8395,D
23745,14.8395,D
23745,14.8395,D
23745,14.8395,D
23854,14.8395,D
23854,14.8395,D
23964,14.8394,D
23964,14.8394,D
23964,14.8394,D
24075,14.8394,D
24075,14.8394,D
24185,14.8394,D
24185,14.8394,D
24185,14.8394,D
24294,14.8393,D
24294,14.8393,D
24294,14.8393,D
24404,14.8393,D
24404,14.8393,D
24513,14.8393,D
24513,14.8393,D
24513,14.8393,D
24622,14.8393,D
24622,14.8393,D
24731,14.8393,D
24731,14.8393,D
24731,14.8393,D
24840,14.8392,D
24840,14.8392,D
24952,14.8392,D
24952,14.8392,D
25065,14.8392,D
25065,14.8392,D
25065,14.8392,D
25176,14.8391,D
25176,14.8391,D
25176,14.8391,D
25288,14.8391,D
25288,14.8391,D
25401,14.8391,D
25401,14.8391,D
25401,14.8390,D
25514,14.8390,D
25514,14.8390,D
25626,14.8390,D
25626,14.8390,D
25626,14.8390,D
25739,14.8389,D
25739,14.8389,D
25851,14.8686,D
25852,14.8825,D
25852,14.8828,D
25964,14.8826,D
25964,14.8820,D
25964,14.8813,D
26077,14.8807,D
26077,14.8803,D
26190,14.8800,D
26190,14.8798,D
26190,14.8797,D
26302,14.8795,D
26302,14.8793,D
26416,14.8792,D
26416,14.8790,D
26416,14.8789,D
26529,14.8789,D
26529,14.8787,D
26529,14.8786,D
26641,14.8785,D
26641,14.8785,D
26753,14.8785,D
26754,14.8785,D
26754,14.8785,D
26865,14.8785,D
26866,14.8785,D
26977,14.8785,D
26977,14.8785,D
26977,14.8785,D
27086,14.8786,D
27086,14.8786,D
27195,14.8786,D
27195,14.8786,D
27195,14.8786,D
27305,14.8786,D
27305,14.8786,D
27414,14.8786,D
27414,14.8787,D
27414,14.8787,D
27524,14.8787,D
27524,14.8787,D
27634,14.8787,D
27634,14.8787,D
27634,14.8787,D
27744,14.8787,D
27744,14.8787,D
27744,14.8787,D
27855,14.8787,D
27855,14.8787,D
27963,14.8787,D
27963,14.8787,D
27963,14.8787,D
28072,14.8787,D
28072,14.8787,D
28183,14.8787,D
28183,14.8787,D
28183,14.8787,D
28292,14.8787,D
28292,14.8787,D
28402,14.8787,D
28402,14.8787,D
28402,14.8787,D
28512,14.8787,D
28512,14.8787,D
28621,14.8786,D
28621,14.8786,D
28730,14.8785,D
28730,14.8784,D
28730,14.8784,D
