abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,v_cmps,d_0.1mm,V_0.1uL,state,Q_cmLph,top_raw,bot_raw
68938,12,9408,2234,5175,102,38,375,2,547,3906,3495
72696,13,9406,2233,5169,102,38,374,2,1095,3905,3496
76453,14,9435,2240,5172,101,38,372,2,1642,3905,3491
80221,15,9400,2214,5184,102,38,374,2,2189,3904,3494
84023,16,9389,2219,5179,102,38,375,2,2737,3905,3499
87808,17,9355,2200,5201,102,39,380,2,3284,3906,3491
91564,18,9392,2305,5181,102,39,389,2,3831,3906,3500
95358,19,9344,2184,5201,102,38,379,2,3831,3906,3498
99101,20,9395,2228,5196,102,38,379,2,3831,3905,3497
102853,21,9410,2226,5183,102,38,374,2,3831,3905,3496
106651,22,9316,2180,5236,103,39,388,2,3831,3906,3488
110468,23,9354,2196,5201,102,39,380,2,3831,3904,3488
114285,24,9370,2212,5193,102,38,379,2,3831,3905,3488
118095,25,9372,2223,5213,102,39,384,2,3831,3906,3490
121887,26,9374,2212,5194,102,38,379,2,3831,3904,3501
125681,27,9296,2171,5241,103,39,390,2,3831,3906,3488
129477,28,9377,2221,5199,102,39,380,2,3831,3906,3490
133284,29,9312,2180,5216,103,39,385,2,3831,3906,3491
137085,30,9308,2185,5253,103,39,392,2,3831,3906,3491
140885,31,9316,2148,5202,103,38,377,2,3831,3905,3498
144714,32,9368,2196,5203,102,38,378,2,3831,3905,3490
148530,33,9384,2184,5162,102,38,368,2,3831,3906,3488
152313,34,9308,2179,5236,103,39,389,2,3831,3906,3488
156134,35,9287,2173,5270,103,39,396,2,3831,3906,3490
159974,36,9293,2171,5230,103,39,388,2,3831,3909,3496
163805,37,9293,2169,5230,103,39,388,2,3831,3909,3496
167675,38,9358,2174,5248,102,39,383,2,3831,3906,3491
171529,39,9305,2244,5206,103,39,395,2,3831,3906,3489
175387,40,9239,2138,5255,104,39,394,2,3831,3906,3502
179248,41,9243,2090,5208,104,38,379,2,3831,3907,3492
183050,42,9365,2213,5201,102,39,381,2,3831,3906,3490
186900,43,9578,2182,4843,100,36,301,2,3831,3907,3494
190746,44,9214,2057,5204,104,38,377,2,3831,3909,3498
194588,45,9337,2195,5219,103,39,385,2,3831,3904,3493
198454,46,9303,2174,5244,103,39,390,2,3831,3905,3488
202315,47,9278,2158,5236,103,39,389,2,3831,3907,3499
206151,48,9256,2118,5234,103,39,386,2,3831,3905,3488
210039,49,9302,2174,5216,103,39,386,2,3831,3905,3491
213900,50,9234,2181,5215,104,39,396,2,3831,3907,3490
217783,51,9306,2179,5240,103,39,390,2,3831,3904,3498
221675,52,9210,2083,5237,104,39,387,2,3831,3907,3498
225544,53,9185,2059,5262,104,39,390,2,3831,3907,3488
229418,54,9282,2167,5254,103,39,393,2,3831,3905,3492
233313,55,9288,2153,5250,103,39,389,2,3831,3906,3490
237193,56,9300,2194,5226,103,39,391,2,3831,3904,3499
241064,57,9271,2180,5240,103,39,395,2,3831,3906,3499
244915,58,9207,2096,5242,104,39,390,2,3831,3907,3502
248794,59,9317,2188,5215,103,39,386,2,3831,3907,3490
252707,60,9233,2114,5226,104,39,387,2,3831,3906,3494
256583,61,9277,2157,5235,103,39,389,2,3831,3906,3493
260480,62,9277,2161,5236,103,39,390,2,3831,3907,3493
264380,63,9282,2247,5233,103,39,403,2,3831,3907,3496
268265,64,9287,2183,5239,103,39,393,2,3831,3907,3496
272162,65,9278,2150,5239,103,39,389,2,3831,3907,3501
276102,66,9243,2113,5249,104,39,389,2,3831,3906,3490
280009,67,9316,2187,5243,103,39,390,2,3831,3907,3490
283904,68,9252,2148,5242,104,39,392,2,3831,3905,3497
287825,69,9206,2115,5252,104,39,395,2,3831,3906,3499
291727,70,9223,2113,5232,104,39,389,2,3831,3907,3496
295591,71,9289,2201,5268,103,39,400,2,3831,3905,3488
299502,72,9272,2147,5242,103,39,389,2,3831,3906,3498
303391,73,9284,2165,5242,103,39,391,2,3831,3904,3490
307316,74,9284,2168,5251,103,39,393,2,3831,3906,3495
311250,75,9265,2139,5243,103,39,389,2,3831,3904,3491
315151,76,9184,2081,5264,104,39,394,2,3831,3906,3488
319117,77,9298,2161,5250,103,39,389,2,3831,3904,3502
323011,78,9270,2168,5242,103,39,393,2,3831,3906,3498
326932,79,9278,2183,5247,103,39,395,2,3831,3907,3499
330888,80,9246,2125,5250,104,39,391,2,3831,3906,3488
334816,81,9253,2148,5245,104,39,393,2,3831,3907,3488
338731,82,9250,2154,5249,104,39,395,2,3831,3906,3488
342631,83,9220,2115,5238,104,39,391,2,3831,3907,3496
346559,84,9182,2060,5243,104,39,388,2,3831,3906,3488
350506,85,9182,2088,5258,104,39,395,2,3831,3907,3488
354441,86,9280,2196,5266,103,39,400,2,3831,3904,3488
358378,87,9252,2165,5268,104,39,399,2,3831,3907,3488
362308,88,9211,2115,5259,104,39,395,2,3831,3906,3498
366286,89,9283,2158,5238,103,39,389,2,3831,3904,3490
370253,90,9282,2177,5253,103,39,395,2,3831,3906,3494
374202,91,9184,2098,5266,104,39,397,2,3831,3909,3488
378128,92,9240,2126,5254,104,39,392,2,3831,3906,3490
382065,93,9318,2194,5238,103,39,390,2,3831,3906,3489
385810,94,9372,2235,5202,102,39,384,2,3831,3906,3488
389776,95,9327,2201,5235,103,39,390,2,3831,3906,3498
393753,96,9344,2196,5221,102,39,384,2,3831,3906,3499
397713,97,9345,2232,5239,102,39,393,2,3831,3906,3501
401670,98,9198,2059,5230,104,39,383,2,3831,3912,3500
405615,99,9306,2180,5217,103,39,386,2,3831,3906,3491
409593,100,9324,2199,5244,103,39,391,2,3831,3907,3488
413531,101,9289,2201,5264,103,39,399,2,3831,3905,3488
417497,102,9326,2201,5239,103,39,390,2,3831,3906,3498
421457,103,9231,2126,5255,104,39,394,2,3831,3906,3503
425413,104,9273,2162,5230,103,39,390,2,3831,3906,3495
429367,105,9180,2059,5267,104,39,392,2,3831,3907,3488
