t_s,status,grams
0.214,D,-0.0281
0.214,D,-0.0281
0.214,D,-0.0281
0.214,D,-0.0282
0.214,D,-0.0282
0.416,D,-0.0282
0.416,D,-0.0282
0.416,D,-0.0282
0.416,D,-0.0282
0.417,D,-0.0282
0.620,D,-0.0282
0.621,D,-0.0282
0.621,D,-0.0283
0.621,D,-0.0283
0.621,D,-0.0283
0.825,D,-0.0284
0.825,D,-0.0284
0.825,D,-0.0284
0.825,D,-0.0284
1.028,D,-0.0284
1.028,D,-0.0284
1.028,D,-0.0284
1.028,D,-0.0284
1.028,D,-0.0284
1.229,D,-0.0285
1.229,D,-0.0285
1.229,D,-0.0285
1.229,D,-0.0285
1.229,D,-0.0285
1.432,D,-0.0285
1.432,D,-0.0285
1.432,D,-0.0285
1.432,D,-0.0285
1.635,D,-0.0285
1.635,D,-0.0285
1.635,D,-0.0285
1.635,D,-0.0285
1.635,D,-0.0285
1.837,D,-0.0285
1.837,D,-0.0285
1.837,D,-0.0285
1.837,D,-0.0285
2.040,D,-0.0285
2.040,D,-0.0286
2.040,D,-0.0286
2.040,D,-0.0286
2.040,D,-0.0286
2.243,D,-0.0287
2.243,D,-0.0287
2.243,D,-0.0287
2.243,D,-0.0287
2.243,D,-0.0287
2.449,D,-0.0287
2.449,D,-0.0287
2.449,D,-0.0287
2.449,D,-0.0287
2.649,D,-0.0287
2.649,D,-0.0287
2.649,D,-0.0288
2.649,D,-0.0288
2.649,D,-0.0288
2.850,D,-0.0288
2.850,D,-0.0288
2.850,D,-0.0288
2.850,D,-0.0288
2.850,D,-0.0288
3.054,D,-0.0288
3.054,D,-0.0288
3.054,D,-0.0288
3.054,D,-0.0288
3.257,D,-0.0288
3.257,D,-0.0288
3.257,D,-0.0288
3.257,D,-0.0288
3.257,D,-0.0288
3.460,D,-0.0288
3.460,D,-0.0288
3.460,D,-0.0288
3.460,D,-0.0288
3.460,D,-0.0288
3.662,D,-0.0288
3.662,D,-0.0288
3.662,D,-0.0288
3.662,D,-0.0288
3.864,D,-0.0288
3.864,D,-0.0288
3.864,D,-0.0288
3.864,D,-0.0288
3.864,D,-0.0288
4.067,D,-0.0288
4.067,D,-0.0288
4.067,D,-0.0288
4.067,D,-0.0288
4.067,D,-0.0288
4.275,D,-0.0288
4.275,D,-0.0288
4.275,D,-0.0288
4.275,D,-0.0288
4.481,D,-0.0288
4.481,D,-0.0288
4.481,D,-0.0288
4.481,D,-0.0288
4.481,D,-0.0288
4.690,S,-0.0288
4.690,S,0.0000
4.690,S,0.0000
4.897,S,0.0000
4.897,D,0.0000
4.897,D,0.0000
4.897,D,0.0000
4.897,D,0.0000
5.106,D,0.0000
5.106,D,0.0000
5.106,D,0.0000
5.106,D,0.0000
5.106,D,0.0000
5.314,D,0.0000
5.314,D,0.0000
5.314,D,0.0000
5.314,D,0.0000
5.314,D,0.0000
5.520,D,0.0000
5.520,D,0.0000
5.520,D,0.0000
5.520,D,-0.0001
5.520,D,-0.0001
5.728,D,-0.0001
5.728,D,-0.0001
5.728,D,-0.0001
5.728,D,-0.0001
5.937,D,-0.0001
5.937,D,-0.0001
5.937,D,-0.0003
5.937,D,-0.0003
5.937,D,-0.0003
6.147,D,-0.0003
6.147,D,-0.0003
6.147,D,-0.0003
6.147,D,-0.0003
6.147,D,-0.0003
6.349,D,-0.0003
6.349,D,-0.0003
6.349,D,-0.0003
6.349,D,-0.0003
6.349,D,-0.0003
6.551,D,-0.0003
6.552,D,-0.0003
6.552,D,-0.0003
6.552,D,-0.0003
6.755,D,-0.0003
6.755,D,-0.0003
6.755,D,-0.0003
6.755,D,-0.0004
6.755,D,-0.0004
6.957,D,-0.0004
6.957,D,-0.0004
6.957,D,-0.0004
6.957,D,-0.0004
6.957,D,-0.0004
7.162,D,-0.0004
7.162,D,-0.0004
7.162,D,-0.0004
7.162,D,-0.0004
7.364,D,-0.0004
7.364,D,-0.0004
7.364,D,-0.0004
7.364,D,-0.0004
7.364,D,-0.0004
7.567,D,-0.0004
7.567,D,-0.0004
7.567,D,-0.0004
7.567,D,-0.0004
7.771,D,-0.0004
7.771,D,-0.0004
7.771,D,-0.0004
7.771,D,-0.0004
7.771,D,-0.0004
7.973,D,-0.0004
7.973,D,-0.0004
7.973,D,-0.0004
7.973,D,-0.0004
7.973,D,-0.0004
8.176,D,-0.0004
8.176,D,-0.0004
8.176,D,-0.0004
8.176,D,-0.0005
8.378,D,-0.0005
8.378,D,-0.0005
8.378,D,-0.0005
8.378,D,-0.0005
8.378,D,-0.0005
8.581,D,-0.0005
8.581,D,-0.0005
8.581,D,-0.0005
8.581,D,-0.0005
8.581,D,-0.0005
8.783,D,-0.0005
8.783,D,-0.0005
8.783,D,-0.0005
8.783,D,-0.0005
8.984,D,-0.0005
8.984,D,-0.0005
8.984,D,-0.0005
8.984,D,-0.0005
8.984,D,-0.0005
9.188,D,-0.0005
9.188,D,-0.0005
9.188,D,-0.0005
9.188,D,-0.0005
9.392,D,-0.0005
9.392,D,-0.0005
9.392,D,-0.0005
9.392,D,-0.0005
9.392,D,-0.0005
9.596,D,-0.0005
9.596,D,-0.0005
9.596,D,-0.0005
9.596,D,-0.0005
9.596,D,-0.0005
9.796,D,-0.0005
9.797,D,-0.0005
9.797,D,-0.0006
9.797,D,-0.0006
9.797,D,-0.0006
10.000,D,-0.0006
10.000,D,-0.0006
10.000,D,-0.0006
10.000,D,-0.0006
10.212,D,-0.0006
10.213,D,-0.0006
10.213,D,-0.0006
10.213,D,-0.0006
10.213,D,-0.0006
10.421,D,-0.0006
10.421,D,-0.0006
10.421,D,-0.0006
10.421,D,-0.0006
10.421,D,-0.0006
10.630,D,-0.0006
10.630,D,-0.0006
10.630,D,-0.0007
10.630,D,-0.0007
10.630,D,-0.0007
10.835,D,-0.0007
10.835,D,-0.0007
10.835,D,-0.0007
10.835,D,-0.0007
11.042,D,-0.0007
11.042,D,-0.0007
11.042,D,-0.0007
11.042,D,-0.0007
11.042,D,-0.0007
11.250,D,-0.0007
11.250,D,-0.0007
11.250,D,-0.0007
11.250,D,-0.0007
