t_s,status,grams
0.202,D,15.8822
0.202,D,15.8821
0.202,D,15.8821
0.202,D,15.8821
0.202,D,15.8821
0.404,D,15.8820
0.405,D,15.8820
0.405,D,15.8820
0.405,D,15.8820
0.405,D,15.8821
0.607,D,15.8821
0.607,D,15.8821
0.607,D,15.8821
0.607,D,15.8821
0.809,D,15.8821
0.810,D,15.8821
0.810,D,15.8821
0.810,D,15.8820
0.810,D,15.8820
1.012,D,15.8820
1.012,D,15.8820
1.012,D,15.8820
1.012,D,15.8820
1.012,D,15.8820
1.215,D,15.8820
1.215,D,15.8820
1.215,D,15.8820
1.215,D,15.8820
1.417,D,15.8820
1.417,D,15.8820
1.417,D,15.8819
1.417,D,15.8819
1.417,D,15.8819
1.619,D,15.8819
1.619,D,15.8819
1.619,D,15.8819
1.619,D,15.8819
1.821,D,15.8819
1.821,D,15.9012
1.821,D,15.9272
1.821,D,15.9277
1.821,D,15.9276
2.026,D,15.9271
2.026,D,15.9265
2.026,D,15.9261
2.026,D,15.9257
2.026,D,15.9255
2.231,D,15.9253
2.231,D,15.9251
2.231,D,15.9250
2.231,D,15.9250
2.434,D,15.9251
2.434,D,15.9250
2.434,D,15.9249
2.434,D,15.9247
2.434,D,15.9245
2.635,D,15.9242
2.635,D,15.9240
2.635,D,15.9238
2.635,D,15.9236
2.635,D,15.9232
2.837,D,15.9231
2.837,D,15.9231
2.837,D,15.9231
2.837,D,15.9231
3.048,D,15.9231
3.048,D,15.9232
3.048,D,15.9232
3.048,D,15.9232
3.048,D,15.9233
3.256,D,15.9233
3.256,D,15.9233
3.256,D,15.9233
3.256,D,15.9233
3.256,D,15.9233
3.464,D,15.9233
3.464,D,15.9233
3.464,D,15.9234
3.465,D,15.9234
3.465,D,15.9234
3.671,D,15.9234
3.671,D,15.9234
3.671,D,15.9234
3.671,D,15.9234
3.877,D,15.9234
3.877,D,15.9234
3.877,D,15.9234
3.877,D,15.9234
3.877,D,15.9234
4.085,D,15.9234
4.086,D,15.9234
4.086,D,15.9234
4.086,D,15.9234
4.086,D,15.9234
4.292,D,15.9234
4.292,D,15.9234
4.292,D,15.9234
4.292,D,15.9234
4.292,D,15.9656
4.500,D,15.9690
4.500,D,15.9691
4.500,D,15.9687
4.500,D,15.9682
4.709,D,15.9676
4.709,D,15.9671
4.709,D,15.9668
4.709,D,15.9665
4.709,D,15.9663
4.917,D,15.9660
4.917,D,15.9658
4.917,D,15.9656
4.917,D,15.9654
4.917,D,15.9653
5.119,D,15.9652
5.120,D,15.9651
5.120,D,15.9651
5.120,D,15.9648
5.120,D,15.9648
5.321,D,15.9646
5.321,D,15.9646
5.321,D,15.9646
5.322,D,15.9646
5.523,D,15.9646
5.524,D,15.9646
5.524,D,15.9646
5.524,D,15.9646
5.524,D,15.9646
5.728,D,15.9646
5.728,D,15.9646
5.729,D,15.9646
5.729,D,15.9646
5.930,D,15.9645
5.930,D,15.9645
5.930,D,15.9645
5.930,D,15.9645
5.930,D,15.9645
6.146,D,15.9645
6.146,D,15.9645
6.146,D,15.9645
6.146,D,15.9645
6.146,D,15.9645
6.347,D,15.9645
6.347,D,15.9645
6.347,D,15.9645
6.347,D,15.9645
6.347,D,15.9645
6.549,D,15.9645
6.549,D,15.9644
6.549,D,15.9644
6.549,D,15.9644
6.754,D,15.9644
6.754,D,15.9644
6.754,D,15.9644
6.754,D,15.9644
6.754,D,15.9644
6.968,D,15.9644
6.968,D,15.9644
6.968,D,15.9866
6.968,D,16.0098
6.968,D,16.0103
7.177,D,16.0101
7.177,D,16.0096
7.177,D,16.0090
7.177,D,16.0085
7.385,D,16.0081
7.385,D,16.0078
7.385,D,16.0076
7.385,D,16.0073
7.385,D,16.0070
7.592,D,16.0068
7.592,D,16.0067
7.592,D,16.0065
7.592,D,16.0064
