t_s,status,grams
0.207,D,14.3192
0.208,D,14.3186
0.208,D,14.3178
0.208,D,14.3173
0.208,D,14.3171
0.415,D,14.3170
0.415,D,14.3169
0.415,D,14.3168
0.415,D,14.3165
0.415,D,14.3163
0.626,D,14.3160
0.626,D,14.3158
0.626,D,14.3157
0.626,D,14.3157
0.626,D,14.3156
0.835,D,14.3156
0.835,D,14.3155
0.835,D,14.3154
0.835,D,14.3153
1.043,D,14.3152
1.043,D,14.3152
1.043,D,14.3152
1.043,D,14.3152
1.043,D,14.3152
1.251,D,14.3152
1.251,D,14.3152
1.251,D,14.3152
1.251,D,14.3152
1.251,D,14.3152
1.459,D,14.3152
1.459,D,14.3152
1.459,D,14.3152
1.459,D,14.3152
1.459,D,14.3152
1.660,D,14.3152
1.660,D,14.3152
1.660,D,14.3152
1.660,D,14.3152
1.863,D,14.3152
1.863,D,14.3152
1.863,D,14.3152
1.863,D,14.3152
1.863,D,14.3152
2.067,D,14.3152
2.067,D,14.3152
2.067,D,14.3152
2.067,D,14.3152
2.067,D,14.3152
2.272,D,14.3152
2.272,D,14.3153
2.272,D,14.3153
2.272,D,14.3153
2.474,D,14.3153
2.474,D,14.3153
2.474,D,14.3153
2.474,D,14.3205
2.474,D,14.3608
2.676,D,14.3612
2.676,D,14.3609
2.676,D,14.3602
2.676,D,14.3595
2.880,D,14.3589
2.880,D,14.3587
2.880,D,14.3585
2.880,D,14.3584
2.880,D,14.3583
3.081,D,14.3580
3.081,D,14.3578
3.081,D,14.3576
3.081,D,14.3574
3.081,D,14.3572
3.285,D,14.3572
3.285,D,14.3571
3.285,D,14.3571
3.285,D,14.3569
3.487,D,14.3568
3.487,D,14.3567
3.487,D,14.3567
3.487,D,14.3566
3.487,D,14.3566
3.691,D,14.3566
3.691,D,14.3566
3.691,D,14.3566
3.691,D,14.3566
3.691,D,14.3566
3.893,D,14.3566
3.894,D,14.3566
3.894,D,14.3566
3.894,D,14.3567
4.095,D,14.3567
4.095,D,14.3567
4.095,D,14.3566
4.095,D,14.3566
4.095,D,14.3566
4.298,D,14.3566
4.299,D,14.3566
4.299,D,14.3566
4.299,D,14.3566
4.299,D,14.3566
4.501,D,14.3566
4.501,D,14.3566
4.501,D,14.3566
4.501,D,14.3566
4.704,D,14.3566
4.704,D,14.3566
4.704,D,14.3566
4.704,D,14.3566
4.704,D,14.3566
4.906,D,14.3566
4.906,D,14.3565
4.906,D,14.3565
4.906,D,14.3565
4.906,D,14.3565
5.109,D,14.3565
5.109,D,14.3963
5.109,D,14.4020
5.109,D,14.4020
5.311,D,14.4016
5.311,D,14.4009
5.311,D,14.4003
5.311,D,14.4000
5.311,D,14.3998
5.520,D,14.3997
5.520,D,14.3996
5.520,D,14.3993
5.520,D,14.3991
5.520,D,14.3988
5.728,D,14.3986
5.728,D,14.3985
5.728,D,14.3984
5.728,D,14.3984
5.938,D,14.3983
5.938,D,14.3983
5.938,D,14.3981
5.938,D,14.3980
5.938,D,14.3979
6.145,D,14.3979
6.145,D,14.3979
6.145,D,14.3979
6.145,D,14.3979
6.145,D,14.3979
6.355,D,14.3979
6.355,D,14.3979
6.355,D,14.3979
6.355,D,14.3979
6.355,D,14.3979
6.563,D,14.3979
6.564,D,14.3979
6.564,D,14.3979
6.564,D,14.3979
6.564,D,14.3979
6.772,D,14.3979
6.772,D,14.3979
6.772,D,14.3979
6.772,D,14.3979
6.979,D,14.3979
6.980,D,14.3979
6.980,D,14.3979
6.980,D,14.3979
6.980,D,14.3979
7.189,D,14.3979
7.189,D,14.3979
7.189,D,14.3979
7.189,D,14.3979
7.189,D,14.3979
7.396,D,14.3979
7.396,D,14.3979
7.396,D,14.3979
7.396,D,14.3979
7.396,D,14.3979
7.601,D,14.3979
7.601,D,14.3979
7.601,D,14.4143
7.601,D,14.4433
7.803,D,14.4436
7.803,D,14.4433
7.803,D,14.4427
7.803,D,14.4420
7.803,D,14.4415
8.007,D,14.4412
8.007,D,14.4411
8.007,D,14.4410
8.007,D,14.4408
8.208,D,14.4405
8.208,D,14.4402
8.208,D,14.4400
8.208,D,14.4398
8.208,D,14.4397
8.410,D,14.4397
8.410,D,14.4396
8.410,D,14.4396
8.410,D,14.4394
8.410,D,14.4393
8.613,D,14.4392
8.613,D,14.4392
8.613,D,14.4391
8.613,D,14.4391
8.816,D,14.4391
8.816,D,14.4391
8.816,D,14.4391
8.816,D,14.4391
8.816,D,14.4390
9.017,D,14.4390
9.017,D,14.4390
9.017,D,14.4390
9.017,D,14.4390
9.218,D,14.4389
9.218,D,14.4389
9.218,D,14.4389
9.218,D,14.4389
9.218,D,14.4389
9.423,D,14.4389
9.423,D,14.4389
9.423,D,14.4389
9.423,D,14.4389
9.423,D,14.4389
9.633,D,14.4389
9.633,D,14.4389
9.633,D,14.4389
9.633,D,14.4389
9.633,D,14.4389
9.840,D,14.4389
9.841,D,14.4389
9.841,D,14.4389
9.841,D,14.4389
9.841,D,14.4389
10.048,D,14.4390
10.048,D,14.4390
10.048,D,14.4390
10.048,D,14.4390
10.255,D,14.4390
10.255,D,14.4813
10.255,D,14.4845
10.255,D,14.4843
10.255,D,14.4837
10.462,D,14.4831
10.462,D,14.4825
10.462,D,14.4821
10.462,D,14.4819
10.462,D,14.4818
10.669,D,14.4816
10.669,D,14.4814
10.669,D,14.4811
10.669,D,14.4809
10.876,D,14.4807
10.876,D,14.4805
10.876,D,14.4805
10.876,D,14.4804
10.876,D,14.4804
11.081,D,14.4803
11.081,D,14.4801
11.081,D,14.4800
11.081,D,14.4800
11.081,D,14.4799
11.286,D,14.4797
11.286,D,14.4797
11.286,D,14.4797
11.286,D,14.4797
11.286,D,14.4797
11.490,D,14.4798
11.490,D,14.4798
11.490,D,14.4799
11.490,D,14.4800
11.696,D,14.4801
11.696,D,14.4802
11.696,D,14.4802
11.696,D,14.4803
11.696,D,14.4803
11.904,D,14.4803
11.904,D,14.4802
11.904,D,14.4802
11.904,D,14.4802
11.904,D,14.4801
12.111,D,14.4801
12.111,D,14.4800
12.111,D,14.4800
12.111,D,14.4800
12.111,D,14.4799
12.316,D,14.4799
12.316,D,14.4799
12.316,D,14.4798
12.316,D,14.4798
12.516,D,14.4798
12.516,D,14.4797
12.516,D,14.4797
12.516,D,14.4797
12.516,D,14.4797
12.721,D,14.4797
12.721,D,14.4797
12.721,D,14.5050
12.721,D,14.5253
12.926,D,14.5254
12.926,D,14.5251
12.926,D,14.5245
12.926,D,14.5238
12.926,D,14.5233
13.131,D,14.5231
13.131,D,14.5230
13.131,D,14.5229
13.131,D,14.5227
13.131,D,14.5225
13.336,D,14.5222
13.336,D,14.5220
13.336,D,14.5218
13.336,D,14.5217
13.336,D,14.5216
13.540,D,14.5215
13.540,D,14.5213
13.540,D,14.5212
13.540,D,14.5211
13.745,D,14.5211
13.745,D,14.5210
13.745,D,14.5210
13.745,D,14.5210
13.745,D,14.5210
13.948,D,14.5211
13.948,D,14.5211
13.948,D,14.5211
13.948,D,14.5211
13.948,D,14.5211
14.153,D,14.5211
14.153,D,14.5211
14.153,D,14.5211
14.153,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.559,D,14.5210
14.559,D,14.5210
14.559,D,14.5210
14.559,D,14.5210
14.559,D,14.5210
