t_s,status,grams
0.202,D,32.1525
0.202,D,32.1523
0.202,D,32.1522
0.202,D,32.1521
0.409,D,32.1520
0.409,D,32.1519
0.409,D,32.1517
0.409,D,32.1516
0.409,D,32.1516
0.616,D,32.1516
0.616,D,32.1515
0.616,D,32.1515
0.616,D,32.1515
0.616,D,32.1514
0.817,D,32.1514
0.817,D,32.1514
0.817,D,32.1514
0.817,D,32.1514
1.024,D,32.1514
1.024,D,32.1514
1.024,D,32.1514
1.024,D,32.1514
1.024,D,32.1514
1.231,D,32.1514
1.231,D,32.1514
1.231,D,32.1514
1.231,D,32.1514
1.231,D,32.1514
1.436,D,32.1514
1.436,D,32.1514
1.436,D,32.1514
1.436,D,32.1514
1.643,D,32.1514
1.643,D,32.1514
1.643,D,32.1514
1.643,D,32.1514
1.643,D,32.1514
1.849,D,32.1514
1.849,D,32.1514
1.849,D,32.1514
1.849,D,32.1514
1.849,D,32.1514
2.056,D,32.1514
2.056,D,32.1514
2.056,D,32.1514
2.056,D,32.1514
2.056,D,32.1514
2.261,D,32.1514
2.261,D,32.1514
2.261,D,32.1514
2.261,D,32.1514
2.467,D,32.1514
2.467,D,32.1514
2.467,D,32.1514
2.467,D,32.1565
2.467,D,32.1958
2.673,D,32.1967
2.673,D,32.1967
2.673,D,32.1964
2.673,D,32.1962
2.673,D,32.1958
2.879,D,32.1954
2.880,D,32.1950
2.880,D,32.1947
2.880,D,32.1945
3.086,D,32.1943
3.086,D,32.1941
3.086,D,32.1940
3.086,D,32.1939
3.086,D,32.1937
3.293,D,32.1936
3.293,D,32.1936
3.293,D,32.1935
3.293,D,32.1933
3.293,D,32.1932
3.498,D,32.1932
3.498,D,32.1932
3.498,D,32.1932
3.498,D,32.1931
3.704,D,32.1931
3.705,D,32.1931
3.705,D,32.1931
3.705,D,32.1931
3.705,D,32.1931
3.911,D,32.1931
3.911,D,32.1931
3.911,D,32.1931
3.911,D,32.1931
3.911,D,32.1931
4.116,D,32.1931
4.116,D,32.1931
4.117,D,32.1931
4.117,D,32.1930
4.117,D,32.1930
4.320,D,32.1930
4.320,D,32.1930
4.320,D,32.1930
4.321,D,32.1930
4.527,D,32.1930
4.527,D,32.1930
4.527,D,32.1930
4.527,D,32.1930
4.527,D,32.1929
4.739,D,32.1929
4.739,D,32.1929
4.739,D,32.1929
4.739,D,32.1929
4.739,D,32.1929
4.946,D,32.1929
4.946,D,32.1929
4.946,D,32.1929
4.946,D,32.1929
4.946,D,32.1929
5.151,D,32.1929
5.151,D,32.1929
5.151,D,32.1929
5.151,D,32.1929
5.356,D,32.1929
5.356,D,32.1929
5.356,D,32.1929
5.356,D,32.1929
5.356,D,32.1929
5.562,D,32.2257
5.562,D,32.2373
5.562,D,32.2379
5.562,D,32.2379
5.562,D,32.2377
5.767,D,32.2373
5.767,D,32.2369
5.767,D,32.2365
5.767,D,32.2362
5.972,D,32.2359
5.972,D,32.2357
5.972,D,32.2355
5.972,D,32.2353
5.972,D,32.2352
6.178,D,32.2350
6.178,D,32.2349
6.178,D,32.2348
6.178,D,32.2347
6.178,D,32.2346
6.385,D,32.2344
6.385,D,32.2344
6.385,D,32.2344
6.385,D,32.2344
6.385,D,32.2344
6.593,D,32.2344
6.593,D,32.2344
6.593,D,32.2344
6.593,D,32.2344
6.801,D,32.2344
6.801,D,32.2344
6.801,D,32.2343
6.801,D,32.2343
6.801,D,32.2343
7.007,D,32.2343
7.007,D,32.2343
7.007,D,32.2343
7.007,D,32.2343
7.007,D,32.2343
7.215,D,32.2343
7.215,D,32.2343
7.216,D,32.2343
7.216,D,32.2343
7.216,D,32.2343
7.421,D,32.2343
7.421,D,32.2343
7.421,D,32.2343
7.421,D,32.2343
7.626,D,32.2343
7.626,D,32.2343
7.626,D,32.2343
7.626,D,32.2342
7.626,D,32.2342
7.831,D,32.2342
7.831,D,32.2342
7.831,D,32.2342
7.831,D,32.2342
7.831,D,32.2342
8.038,D,32.2342
8.038,D,32.2342
8.038,D,32.2342
8.038,D,32.2342
8.038,D,32.2342
8.244,D,32.2342
8.244,D,32.2342
8.244,D,32.2342
8.244,D,32.2342
8.450,D,32.2342
8.450,D,32.2530
8.450,D,32.2790
8.450,D,32.2797
8.450,D,32.2797
8.656,D,32.2794
8.656,D,32.2791
8.656,D,32.2787
8.656,D,32.2783
8.656,D,32.2780
8.866,D,32.2777
8.866,D,32.2775
8.866,D,32.2773
8.866,D,32.2771
9.073,D,32.2769
9.073,D,32.2768
9.073,D,32.2767
9.073,D,32.2766
9.073,D,32.2765
9.280,D,32.2764
9.280,D,32.2762
9.280,D,32.2761
9.280,D,32.2761
9.280,D,32.2761
9.485,D,32.2760
9.485,D,32.2760
9.485,D,32.2760
9.485,D,32.2759
9.485,D,32.2759
9.690,D,32.2759
9.690,D,32.2759
9.690,D,32.2759
9.690,D,32.2759
9.895,D,32.2759
9.895,D,32.2759
9.895,D,32.2759
9.895,D,32.2759
9.895,D,32.2759
10.102,D,32.2759
10.102,D,32.2759
10.102,D,32.2759
10.102,D,32.2759
10.102,D,32.2759
10.308,D,32.2759
10.308,D,32.2759
10.309,D,32.2759
10.309,D,32.2759
10.515,D,32.2759
10.515,D,32.2759
10.515,D,32.2759
10.515,D,32.2759
10.515,D,32.2759
10.722,D,32.2759
10.722,D,32.2758
10.722,D,32.2758
10.722,D,32.2758
10.722,D,32.2758
10.925,D,32.2758
10.925,D,32.2758
10.925,D,32.2758
10.925,D,32.2758
10.925,D,32.2758
11.131,D,32.2758
11.131,D,32.2758
11.131,D,32.2758
11.131,D,32.2758
11.336,D,32.2758
11.336,D,32.2758
11.336,D,32.2758
11.336,D,32.3201
11.336,D,32.3211
11.543,D,32.3211
11.543,D,32.3209
11.543,D,32.3206
11.543,D,32.3203
11.748,D,32.3199
11.748,D,32.3196
11.748,D,32.3193
11.748,D,32.3191
11.748,D,32.3188
11.956,D,32.3187
11.956,D,32.3185
11.956,D,32.3183
11.956,D,32.3182
11.956,D,32.3181
12.162,D,32.3180
12.162,D,32.3179
12.162,D,32.3176
12.162,D,32.3174
12.162,D,32.3173
12.366,D,32.3173
12.366,D,32.3173
12.366,D,32.3173
12.366,D,32.3173
12.366,D,32.3172
12.573,D,32.3172
12.573,D,32.3172
12.573,D,32.3172
12.573,D,32.3172
12.787,D,32.3172
12.787,D,32.3171
12.787,D,32.3171
12.787,D,32.3171
12.787,D,32.3171
12.994,D,32.3171
12.994,D,32.3171
12.994,D,32.3171
12.994,D,32.3171
12.994,D,32.3171
13.201,D,32.3171
13.201,D,32.3171
13.201,D,32.3170
13.201,D,32.3170
13.201,D,32.3170
13.407,D,32.3170
13.407,D,32.3170
13.407,D,32.3170
13.407,D,32.3170
13.614,D,32.3170
13.614,D,32.3170
13.614,D,32.3170
13.614,D,32.3170
13.614,D,32.3170
13.819,D,32.3170
13.819,D,32.3170
13.819,D,32.3170
13.819,D,32.3170
13.819,D,32.3170
14.026,D,32.3170
14.027,D,32.3170
14.027,D,32.3170
14.027,D,32.3170
14.231,D,32.3170
14.231,D,32.3170
14.231,D,32.3170
14.231,D,32.3170
14.231,D,32.3472
14.440,D,32.3619
14.440,D,32.3626
14.440,D,32.3626
14.440,D,32.3623
14.440,D,32.3620
14.648,D,32.3615
14.648,D,32.3611
14.648,D,32.3608
14.648,D,32.3606
14.852,D,32.3604
14.852,D,32.3602
14.852,D,32.3600
14.852,D,32.3599
14.852,D,32.3598
14.852,D,32.3596
15.056,D,32.3595
15.056,D,32.3595
15.056,D,32.3594
15.056,D,32.3592
15.261,D,32.3591
15.261,D,32.3591
15.261,D,32.3591
15.261,D,32.3591
15.261,D,32.3590
15.466,D,32.3590
15.466,D,32.3590
15.466,D,32.3590
15.466,D,32.3590
15.466,D,32.3590
15.671,D,32.3590
15.671,D,32.3590
15.671,D,32.3590
15.671,D,32.3590
15.877,D,32.3590
15.877,D,32.3590
15.877,D,32.3590
15.877,D,32.3590
15.877,D,32.3590
16.080,D,32.3590
16.080,D,32.3590
16.080,D,32.3590
16.080,D,32.3590
16.080,D,32.3590
16.286,D,32.3590
16.286,D,32.3590
16.286,D,32.3590
16.286,D,32.3590
16.489,D,32.3590
16.489,D,32.3590
16.489,D,32.3590
16.489,D,32.3590
16.489,D,32.3590
16.694,D,32.3590
16.694,D,32.3590
16.694,D,32.3590
16.694,D,32.3590
16.694,D,32.3590
16.898,D,32.3590
16.898,D,32.3590
16.898,D,32.3590
16.898,D,32.3590
17.102,D,32.3590
17.102,D,32.3590
17.102,D,32.3590
17.102,D,32.3590
17.102,D,32.3590
17.306,D,32.3666
17.306,D,32.4036
17.306,D,32.4043
17.306,D,32.4043
17.306,D,32.4041
17.512,D,32.4038
17.512,D,32.4035
17.512,D,32.4031
17.512,D,32.4028
17.716,D,32.4025
17.716,D,32.4023
17.716,D,32.4021
17.716,D,32.4019
17.716,D,32.4017
17.921,D,32.4016
17.921,D,32.4014
