t_s,status,grams
0.203,D,44.8233
0.203,D,44.8233
0.203,D,44.8233
0.203,D,44.8233
0.203,D,44.8234
0.407,D,44.8234
0.407,D,44.8234
0.407,D,44.8234
0.407,D,44.8234
0.407,D,44.8234
0.612,D,44.8234
0.612,D,44.8234
0.612,D,44.8234
0.612,D,44.8234
0.815,D,44.8233
0.815,D,44.8233
0.815,D,44.8233
0.815,D,44.8233
0.815,D,44.8233
1.018,D,44.8233
1.018,D,44.8233
1.018,D,44.8233
1.018,D,44.8233
1.018,D,44.8362
1.225,D,44.8672
1.225,D,44.8683
1.225,D,44.8685
1.225,D,44.8686
1.431,D,44.8684
1.431,D,44.8680
1.431,D,44.8677
1.431,D,44.8675
1.431,D,44.8672
1.636,D,44.8670
1.636,D,44.8668
1.636,D,44.8666
1.636,D,44.8665
1.636,D,44.8663
1.842,D,44.8662
1.842,D,44.8661
1.842,D,44.8660
1.842,D,44.8660
1.842,D,44.8659
2.047,D,44.8659
2.047,D,44.8656
2.047,D,44.8656
2.047,D,44.8656
2.251,D,44.8656
2.251,D,44.8655
2.251,D,44.8655
2.251,D,44.8655
2.251,D,44.8655
2.456,D,44.8655
2.456,D,44.8655
2.456,D,44.8654
2.456,D,44.8654
2.662,D,44.8654
2.662,D,44.8654
2.662,D,44.8654
2.662,D,44.8654
2.662,D,44.8654
2.868,D,44.8654
2.868,D,44.8654
2.868,D,44.8654
2.868,D,44.8653
2.868,D,44.8653
3.072,D,44.8653
3.072,D,44.8653
3.072,D,44.8653
3.072,D,44.8653
3.072,D,44.8653
3.276,D,44.8653
3.276,D,44.8653
3.276,D,44.8653
3.276,D,44.8653
3.480,D,44.8653
3.480,D,44.8653
3.480,D,44.8653
3.480,D,44.8653
3.480,D,44.8653
3.683,D,44.8653
3.683,D,44.8653
3.683,D,44.8653
3.683,D,44.8653
3.683,D,44.8653
3.887,D,44.8653
3.887,D,44.8653
3.887,D,44.8653
3.887,D,44.8653
4.091,D,44.8653
4.091,D,44.8653
4.091,D,44.8653
4.091,D,44.8653
4.091,D,44.8653
4.294,D,44.8653
4.294,D,44.8653
4.294,D,44.8653
4.294,D,44.8653
4.499,D,44.8922
4.499,D,44.9094
4.499,D,44.9102
4.499,D,44.9104
4.499,D,44.9104
4.702,D,44.9101
4.702,D,44.9097
4.702,D,44.9094
4.702,D,44.9091
4.702,D,44.9089
4.904,D,44.9087
4.904,D,44.9085
4.904,D,44.9084
4.904,D,44.9082
4.904,D,44.9081
5.106,D,44.9080
5.107,D,44.9079
5.107,D,44.9079
5.107,D,44.9078
5.321,D,44.9077
5.321,D,44.9076
5.321,D,44.9074
5.321,D,44.9074
5.321,D,44.9073
5.525,D,44.9073
5.525,D,44.9073
5.525,D,44.9073
5.525,D,44.9073
5.525,D,44.9074
5.731,D,44.9074
5.731,D,44.9074
5.731,D,44.9074
5.731,D,44.9074
5.731,D,44.9074
5.935,D,44.9074
5.936,D,44.9072
5.936,D,44.9071
5.936,D,44.9071
6.141,D,44.9071
6.142,D,44.9071
6.142,D,44.9071
6.142,D,44.9071
6.142,D,44.9071
6.346,D,44.9071
6.346,D,44.9071
6.346,D,44.9071
6.346,D,44.9071
6.346,D,44.9071
6.552,D,44.9071
6.552,D,44.9071
6.552,D,44.9071
6.552,D,44.9071
6.756,D,44.9072
6.756,D,44.9072
6.756,D,44.9072
6.756,D,44.9072
6.756,D,44.9072
6.962,D,44.9072
6.962,D,44.9071
6.962,D,44.9071
6.962,D,44.9071
6.962,D,44.9071
7.168,D,44.9071
7.168,D,44.9071
7.168,D,44.9071
7.168,D,44.9071
7.370,D,44.9071
7.370,D,44.9070
7.370,D,44.9070
7.370,D,44.9070
7.370,D,44.9070
7.573,D,44.9070
7.573,D,44.9070
7.573,D,44.9070
7.573,D,44.9070
7.573,D,44.9287
7.775,D,44.9515
7.775,D,44.9524
7.775,D,44.9524
7.775,D,44.9521
7.979,D,44.9519
7.979,D,44.9517
7.979,D,44.9514
7.979,D,44.9512
7.979,D,44.9509
8.181,D,44.9507
8.181,D,44.9505
8.181,D,44.9503
8.181,D,44.9502
8.181,D,44.9500
8.384,D,44.9499
8.384,D,44.9499
8.384,D,44.9498
8.384,D,44.9497
8.587,D,44.9494
8.587,D,44.9489
8.587,D,44.9488
8.587,D,44.9488
8.587,D,44.9488
8.789,D,44.9488
8.790,D,44.9488
8.790,D,44.9489
8.790,D,44.9489
8.790,D,44.9490
8.992,D,44.9490
8.992,D,44.9490
8.992,D,44.9490
8.992,D,44.9490
9.193,D,44.9490
9.193,D,44.9490
9.193,D,44.9490
9.193,D,44.9490
9.193,D,44.9490
9.399,D,44.9489
9.399,D,44.9489
9.399,D,44.9489
9.399,D,44.9488
9.399,D,44.9488
9.605,D,44.9488
9.605,D,44.9488
9.605,D,44.9488
9.605,D,44.9488
9.812,D,44.9488
9.812,D,44.9488
9.812,D,44.9488
9.812,D,44.9489
9.812,D,44.9489
10.017,D,44.9489
10.017,D,44.9489
10.017,D,44.9489
10.017,D,44.9489
10.017,D,44.9489
10.223,D,44.9490
10.223,D,44.9490
10.223,D,44.9489
10.223,D,44.9489
10.430,D,44.9489
10.431,D,44.9489
10.431,D,44.9489
10.431,D,44.9489
10.431,D,44.9489
10.636,D,44.9489
10.636,D,44.9489
10.636,D,44.9488
10.636,D,44.9488
10.636,D,44.9488
10.842,D,44.9488
10.842,D,44.9488
10.842,D,44.9488
10.842,D,44.9488
11.049,D,44.9755
11.049,D,44.9926
11.049,D,44.9935
11.049,D,44.9938
11.049,D,44.9940
11.254,D,44.9941
11.254,D,44.9940
11.254,D,44.9938
11.254,D,44.9934
11.254,D,44.9929
11.455,D,44.9925
11.455,D,44.9920
11.455,D,44.9917
11.456,D,44.9914
