t_s,status,grams
0.200,D,46.7804
0.201,D,46.7804
0.201,D,46.7804
0.201,D,46.8245
0.403,D,46.8253
0.404,D,46.8256
0.404,D,46.8259
0.404,D,46.8258
0.404,D,46.8256
0.606,D,46.8256
0.607,D,46.8256
0.607,D,46.8257
0.607,D,46.8259
0.607,D,46.8261
0.809,D,46.8263
0.809,D,46.8264
0.809,D,46.8265
0.809,D,46.8265
0.809,D,46.8265
1.011,D,46.8265
1.012,D,46.8265
1.012,D,46.8264
1.012,D,46.8264
1.215,D,46.8263
1.215,D,46.8262
1.215,D,46.8262
1.215,D,46.8261
1.215,D,46.8260
1.417,D,46.8259
1.417,D,46.8259
1.417,D,46.8258
1.417,D,46.8257
1.417,D,46.8242
1.619,D,46.8233
1.619,D,46.8225
1.619,D,46.8223
1.619,D,46.8221
1.822,D,46.8219
1.822,D,46.8219
1.822,D,46.8218
1.822,D,46.8218
1.822,D,46.8218
2.025,D,46.8218
2.025,D,46.8219
2.025,D,46.8219
2.025,D,46.8219
2.225,D,46.8220
2.225,D,46.8220
2.225,D,46.8220
2.225,D,46.8220
2.225,D,46.8220
2.431,D,46.8219
2.431,D,46.8219
2.431,D,46.8218
2.431,D,46.8218
2.431,D,46.8217
2.637,D,46.8217
2.637,D,46.8216
2.637,D,46.8216
2.637,D,46.8215
2.840,D,46.8215
2.840,D,46.8215
2.840,D,46.8214
2.840,D,46.8214
2.840,D,46.8214
3.042,D,46.8214
3.042,D,46.8214
3.042,D,46.8214
3.042,D,46.8213
3.042,D,46.8213
3.244,D,46.8213
3.244,D,46.8213
3.244,D,46.8213
3.244,D,46.8213
3.445,D,46.8212
3.446,D,46.8212
3.446,D,46.8212
3.446,D,46.8213
3.446,D,46.8290
3.652,D,46.8661
3.652,D,46.8666
3.652,D,46.8668
3.652,D,46.8668
3.652,D,46.8664
3.856,D,46.8660
3.856,D,46.8656
3.856,D,46.8653
3.856,D,46.8651
4.065,D,46.8649
4.065,D,46.8647
4.065,D,46.8645
4.065,D,46.8643
4.065,D,46.8642
4.270,D,46.8641
4.270,D,46.8640
4.270,D,46.8639
4.270,D,46.8639
4.270,D,46.8638
4.477,D,46.8636
4.477,D,46.8635
4.477,D,46.8635
4.477,D,46.8635
4.477,D,46.8635
4.681,D,46.8635
4.681,D,46.8634
4.681,D,46.8634
4.681,D,46.8634
4.681,D,46.8634
4.885,D,46.8634
4.885,D,46.8634
4.885,D,46.8634
4.885,D,46.8634
5.087,D,46.8634
5.087,D,46.8634
5.087,D,46.8634
5.087,D,46.8634
5.087,D,46.8634
5.289,D,46.8634
5.289,D,46.8634
5.289,D,46.8634
5.289,D,46.8634
5.495,D,46.8634
5.495,D,46.8634
5.495,D,46.8634
5.495,D,46.8634
5.495,D,46.8634
5.699,D,46.8634
5.700,D,46.8634
5.700,D,46.8634
5.700,D,46.8634
5.905,D,46.8634
5.905,D,46.8634
5.906,D,46.8635
5.906,D,46.8635
5.906,D,46.8635
6.108,D,46.8635
6.108,D,46.8635
6.108,D,46.8635
6.108,D,46.8635
6.108,D,46.8635
6.312,D,46.8635
6.312,D,46.8635
6.312,D,46.8635
6.312,D,46.8635
6.312,D,46.8635
6.517,D,46.8635
6.517,D,46.8635
6.517,D,46.8635
6.517,D,46.8635
6.719,D,46.8635
6.719,D,46.8635
6.719,D,46.8635
6.719,D,46.8635
6.719,D,46.8635
6.922,D,46.8686
6.922,D,46.9078
6.922,D,46.9085
6.922,D,46.9087
6.922,D,46.9088
7.125,D,46.9085
7.125,D,46.9082
7.125,D,46.9079
7.125,D,46.9077
7.330,D,46.9076
7.330,D,46.9074
7.330,D,46.9072
7.330,D,46.9069
7.330,D,46.9068
7.534,D,46.9066
7.534,D,46.9065
7.534,D,46.9064
7.534,D,46.9063
7.735,D,46.9062
7.735,D,46.9061
7.735,D,46.9060
7.735,D,46.9058
7.735,D,46.9058
7.951,D,46.9057
7.951,D,46.9057
7.951,D,46.9057
7.951,D,46.9056
7.951,D,46.9056
8.157,D,46.9056
8.157,D,46.9056
8.157,D,46.9056
8.157,D,46.9056
8.157,D,46.9056
8.364,D,46.9056
8.364,D,46.9056
8.364,D,46.9056
8.364,D,46.9056
8.364,D,46.9055
8.568,D,46.9055
8.568,D,46.9055
8.568,D,46.9055
8.568,D,46.9055
8.775,D,46.9055
8.775,D,46.9055
8.775,D,46.9055
8.775,D,46.9055
8.775,D,46.9055
8.983,D,46.9055
8.983,D,46.9055
8.983,D,46.9055
8.983,D,46.9055
8.983,D,46.9055
9.191,D,46.9055
9.191,D,46.9055
9.191,D,46.9055
9.191,D,46.9055
9.191,D,46.9055
9.398,D,46.9055
9.398,D,46.9055
9.398,D,46.9055
9.398,D,46.9055
9.606,D,46.9055
9.606,D,46.9055
9.606,D,46.9055
9.606,D,46.9055
9.606,D,46.9055
9.813,D,46.9055
9.813,D,46.9055
9.813,D,46.9055
9.813,D,46.9055
9.813,D,46.9055
10.017,D,46.9055
10.017,D,46.9055
10.017,D,46.9055
10.017,D,46.9055
10.222,D,46.9055
10.222,D,46.9106
10.222,D,46.9497
10.222,D,46.9504
10.222,D,46.9507
10.427,D,46.9507
10.427,D,46.9502
10.427,D,46.9497
10.427,D,46.9494
10.427,D,46.9492
10.633,D,46.9491
10.633,D,46.9489
10.633,D,46.9487
10.633,D,46.9486
10.633,D,46.9484
10.834,D,46.9482
10.834,D,46.9481
10.834,D,46.9480
10.834,D,46.9479
11.039,D,46.9478
11.039,D,46.9477
11.039,D,46.9476
11.039,D,46.9474
11.039,D,46.9474
11.244,D,46.9474
11.244,D,46.9474
11.244,D,46.9474
11.244,D,46.9472
11.244,D,46.9472
11.448,D,46.9472
11.448,D,46.9472
11.448,D,46.9472
11.448,D,46.9472
11.654,D,46.9472
11.654,D,46.9472
11.654,D,46.9472
11.654,D,46.9472
11.654,D,46.9472
11.856,D,46.9472
11.856,D,46.9472
11.856,D,46.9472
11.856,D,46.9472
12.062,D,46.9472
12.062,D,46.9471
12.062,D,46.9471
12.062,D,46.9471
12.062,D,46.9471
12.267,D,46.9471
12.267,D,46.9471
12.267,D,46.9471
12.267,D,46.9471
12.473,D,46.9471
12.473,D,46.9471
12.473,D,46.9471
12.473,D,46.9471
12.473,D,46.9471
12.681,D,46.9471
12.681,D,46.9471
12.681,D,46.9471
12.681,D,46.9471
12.681,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.304,D,46.9471
13.304,D,46.9471
13.304,D,46.9471
13.304,D,46.9470
13.304,D,46.9470
13.510,D,46.9470
13.510,D,46.9547
13.510,D,46.9913
13.510,D,46.9918
13.716,D,46.9921
13.716,D,46.9922
13.716,D,46.9918
13.716,D,46.9915
13.716,D,46.9912
13.919,D,46.9910
13.919,D,46.9908
13.919,D,46.9907
13.919,D,46.9905
13.919,D,46.9903
14.123,D,46.9901
14.123,D,46.9900
14.123,D,46.9899
14.123,D,46.9898
14.327,D,46.9897
14.327,D,46.9896
14.327,D,46.9896
14.327,D,46.9894
14.327,D,46.9893
14.529,D,46.9892
14.529,D,46.9892
14.529,D,46.9892
14.529,D,46.9892
14.529,D,46.9892
14.732,D,46.9892
14.732,D,46.9892
14.732,D,46.9892
14.732,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
15.139,D,46.9891
15.139,D,46.9891
15.139,D,46.9891
15.139,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.952,D,46.9891
15.952,D,46.9891
15.952,D,46.9891
15.952,D,46.9891
16.162,D,46.9891
16.162,D,46.9891
16.162,D,46.9891
