t_s,status,grams
0.202,D,54.9844
0.202,D,54.9844
0.202,D,54.9844
0.202,D,54.9844
0.405,D,54.9844
0.405,D,54.9844
0.405,D,54.9844
0.405,D,54.9844
0.405,D,54.9844
0.621,D,54.9845
0.621,D,54.9845
0.621,D,54.9845
0.621,D,54.9845
0.621,D,54.9845
0.826,D,54.9845
0.826,D,54.9845
0.826,D,54.9845
0.826,D,54.9845
0.826,D,54.9845
1.034,D,54.9845
1.034,D,54.9845
1.034,D,54.9845
1.034,D,54.9845
1.034,D,54.9845
1.241,D,54.9845
1.241,D,54.9845
1.241,D,54.9845
1.241,D,54.9845
1.448,D,54.9845
1.448,D,54.9845
1.448,D,54.9844
1.448,D,54.9844
1.448,D,54.9844
1.657,D,54.9844
1.658,D,54.9844
1.658,D,54.9844
1.658,D,54.9844
1.658,D,54.9843
1.865,D,54.9843
1.865,D,54.9843
1.865,D,54.9843
1.865,D,54.9843
1.865,D,54.9842
2.074,D,54.9842
2.074,D,54.9842
2.074,D,54.9837
2.074,D,54.9836
2.283,D,54.9836
2.283,D,54.9836
2.283,D,54.9836
2.283,D,54.9835
2.283,D,54.9835
2.491,D,54.9835
2.491,D,54.9835
2.491,D,54.9835
2.491,D,54.9836
2.491,D,54.9838
2.694,D,55.0112
2.694,D,55.0281
2.694,D,55.0289
2.694,D,55.0292
2.694,D,55.0291
2.899,D,55.0287
2.899,D,55.0285
2.899,D,55.0282
2.899,D,55.0279
3.103,D,55.0277
3.103,D,55.0275
3.104,D,55.0272
3.104,D,55.0270
3.104,D,55.0268
3.306,D,55.0267
3.306,D,55.0266
3.306,D,55.0265
3.306,D,55.0264
3.306,D,55.0264
3.510,D,55.0263
3.510,D,55.0261
3.510,D,55.0261
3.510,D,55.0261
3.712,D,55.0261
3.712,D,55.0261
3.712,D,55.0261
3.713,D,55.0261
3.713,D,55.0261
3.915,D,55.0261
3.915,D,55.0260
3.915,D,55.0260
3.915,D,55.0260
3.915,D,55.0260
4.118,D,55.0260
4.118,D,55.0260
4.118,D,55.0260
4.119,D,55.0260
4.323,D,55.0260
4.323,D,55.0260
4.323,D,55.0260
4.323,D,55.0260
4.323,D,55.0260
4.525,D,55.0260
4.525,D,55.0260
4.525,D,55.0260
4.525,D,55.0260
4.525,D,55.0260
4.728,D,55.0260
4.728,D,55.0260
4.728,D,55.0260
4.728,D,55.0260
4.934,D,55.0260
4.934,D,55.0260
4.934,D,55.0260
4.934,D,55.0260
4.934,D,55.0260
5.134,D,55.0260
5.135,D,55.0260
5.135,D,55.0260
5.135,D,55.0260
5.135,D,55.0260
5.338,D,55.0260
5.338,D,55.0260
5.338,D,55.0260
5.339,D,55.0260
5.540,D,55.0260
5.540,D,55.0260
5.540,D,55.0260
5.540,D,55.0260
5.540,D,55.0259
5.742,D,55.0259
5.742,D,55.0259
5.742,D,55.0259
5.742,D,55.0259
5.742,D,55.0259
5.946,D,55.0259
5.946,D,55.0259
5.946,D,55.0259
5.946,D,55.0259
6.150,D,55.0259
6.150,D,55.0260
6.150,D,55.0589
6.150,D,55.0705
6.150,D,55.0714
6.353,D,55.0718
6.353,D,55.0717
6.353,D,55.0713
6.353,D,55.0709
6.353,D,55.0707
6.557,D,55.0704
6.557,D,55.0702
6.557,D,55.0700
6.557,D,55.0698
6.760,D,55.0696
6.760,D,55.0694
6.760,D,55.0693
6.760,D,55.0692
6.760,D,55.0691
6.962,D,55.0690
6.962,D,55.0690
6.962,D,55.0689
6.962,D,55.0687
7.164,D,55.0687
7.164,D,55.0687
7.164,D,55.0687
