t_s,status,grams
0.208,D,60.1775
0.208,D,60.1775
0.208,D,60.1775
0.208,D,60.1775
0.208,D,60.1775
0.415,D,60.1775
0.415,D,60.1775
0.415,D,60.1775
0.415,D,60.1775
0.415,D,60.1775
0.622,D,60.1775
0.622,D,60.1775
0.622,D,60.1775
0.622,D,60.1775
0.622,D,60.1775
0.827,D,60.1775
0.827,D,60.1775
0.827,D,60.1775
0.827,D,60.1775
0.827,D,60.1775
1.034,D,60.1775
1.034,D,60.1775
1.034,S,60.1775
1.034,S,60.1775
1.240,S,60.1775
1.240,S,60.1775
1.240,D,60.1775
1.240,D,60.1775
1.240,D,60.1775
1.447,D,60.1775
1.448,D,60.1775
1.448,D,60.1777
1.448,D,60.2048
1.448,D,60.2219
1.653,D,60.2228
1.653,D,60.2232
1.653,D,60.2230
1.653,D,60.2227
1.860,D,60.2223
1.860,D,60.2220
1.860,D,60.2217
1.860,D,60.2214
1.860,D,60.2212
2.066,D,60.2209
2.066,D,60.2207
2.066,D,60.2206
2.066,D,60.2204
2.066,D,60.2203
2.269,D,60.2202
2.269,D,60.2201
2.269,D,60.2201
2.269,D,60.2200
2.269,D,60.2198
2.474,D,60.2197
2.474,D,60.2197
2.474,D,60.2197
2.474,D,60.2196
2.677,D,60.2196
2.677,D,60.2196
2.677,D,60.2196
2.677,D,60.2196
2.677,D,60.2196
2.879,D,60.2196
2.879,D,60.2196
2.879,D,60.2196
2.879,D,60.2196
3.081,D,60.2196
3.081,D,60.2196
3.081,D,60.2196
3.081,D,60.2196
3.081,D,60.2196
3.285,D,60.2196
3.285,D,60.2196
3.285,D,60.2196
3.285,D,60.2196
3.285,D,60.2196
3.488,D,60.2196
3.488,D,60.2196
3.488,D,60.2196
3.488,D,60.2196
3.691,D,60.2196
3.691,D,60.2196
3.691,D,60.2197
3.691,D,60.2197
3.691,D,60.2197
3.894,D,60.2197
3.894,D,60.2197
3.894,D,60.2197
3.894,D,60.2197
4.097,D,60.2197
4.097,D,60.2197
4.097,D,60.2197
4.097,D,60.2197
4.097,D,60.2197
4.303,D,60.2197
4.303,D,60.2198
4.303,D,60.2198
4.303,D,60.2198
4.303,D,60.2198
4.509,D,60.2198
4.509,D,60.2198
4.509,D,60.2198
4.509,D,60.2198
4.509,D,60.2198
4.716,D,60.2198
4.716,D,60.2198
4.716,D,60.2198
4.716,D,60.2198
4.716,D,60.2198
4.922,D,60.2198
4.922,D,60.2198
4.922,D,60.2198
4.922,D,60.2198
5.129,D,60.2198
5.129,D,60.2198
5.129,D,60.2198
5.129,D,60.2198
5.129,D,60.2301
5.334,D,60.2641
5.334,D,60.2650
5.334,D,60.2652
5.334,D,60.2652
5.334,D,60.2650
5.542,D,60.2647
5.542,D,60.2645
5.542,D,60.2643
5.542,D,60.2641
5.750,D,60.2638
5.750,D,60.2636
5.750,D,60.2633
5.750,D,60.2632
5.750,D,60.2630
5.959,D,60.2629
5.959,D,60.2628
5.959,D,60.2627
5.959,D,60.2626
5.959,D,60.2626
6.167,D,60.2624
6.167,D,60.2623
6.167,D,60.2622
6.167,D,60.2622
6.167,D,60.2622
6.373,D,60.2622
6.373,D,60.2622
6.373,D,60.2622
6.373,D,60.2622
6.576,D,60.2622
6.577,D,60.2621
6.577,D,60.2621
6.577,D,60.2621
6.577,D,60.2621
6.778,D,60.2621
6.778,D,60.2621
6.778,D,60.2621
6.778,D,60.2621
6.982,D,60.2621
6.982,D,60.2621
6.982,D,60.2621
6.982,D,60.2621
6.982,D,60.2621
7.183,D,60.2621
7.183,D,60.2621
7.183,D,60.2621
7.183,D,60.2621
7.183,D,60.2621
7.384,D,60.2621
7.384,D,60.2621
7.384,D,60.2620
7.384,D,60.2620
7.384,D,60.2620
7.587,D,60.2620
7.587,D,60.2620
7.587,D,60.2620
7.587,D,60.2620
7.788,D,60.2620
7.789,D,60.2620
7.789,D,60.2620
7.789,D,60.2620
7.789,D,60.2620
7.992,D,60.2620
7.992,D,60.2620
7.992,D,60.2620
7.992,D,60.2620
7.992,D,60.2620
8.208,D,60.2620
8.208,D,60.2620
8.208,D,60.2620
8.208,D,60.2620
8.415,D,60.2620
8.415,D,60.2620
8.415,D,60.2620
8.415,D,60.2620
8.415,D,60.2620
8.622,D,60.2620
8.622,D,60.2620
8.622,D,60.2620
8.622,D,60.2620
8.622,D,60.2620
8.831,D,60.2620
8.831,D,60.2620
8.831,D,60.2620
8.831,D,60.2620
8.831,D,60.2620
9.037,D,60.3006
9.037,D,60.3067
9.037,D,60.3074
9.037,D,60.3077
9.037,D,60.3075
9.242,D,60.3072
9.242,D,60.3070
9.242,D,60.3067
9.242,D,60.3065
9.451,D,60.3062
9.451,D,60.3060
9.451,D,60.3058
9.451,D,60.3056
9.452,D,60.3055
9.660,D,60.3053
9.660,D,60.3052
9.660,D,60.3051
9.660,D,60.3051
9.869,D,60.3050
9.869,D,60.3049
9.869,D,60.3047
9.869,D,60.3047
9.869,D,60.3047
10.078,D,60.3047
10.078,D,60.3047
10.078,D,60.3047
10.078,D,60.3047
10.078,D,60.3047
10.282,D,60.3046
10.282,D,60.3046
10.282,D,60.3046
10.282,D,60.3046
10.282,D,60.3046
10.486,D,60.3046
10.486,D,60.3046
10.486,D,60.3046
10.486,D,60.3046
