t_s,status,grams
0.193,D,64.5295
0.193,D,64.5295
0.193,D,64.5295
0.193,D,64.5295
0.398,D,64.5295
0.398,D,64.5295
0.398,D,64.5295
0.398,D,64.5295
0.398,D,64.5295
0.612,D,64.5295
0.612,D,64.5295
0.612,D,64.5295
0.612,D,64.5295
0.612,D,64.5295
0.817,D,64.5295
0.817,D,64.5295
0.817,D,64.5295
0.817,D,64.5295
0.817,D,64.5295
1.021,D,64.5295
1.021,D,64.5295
1.021,D,64.5295
1.021,D,64.5295
1.223,D,64.5295
1.223,D,64.5295
1.223,D,64.5295
1.223,D,64.5295
1.223,D,64.5295
1.427,D,64.5295
1.427,D,64.5295
1.427,D,64.5294
1.427,D,64.5295
1.427,D,64.5296
1.628,D,64.5515
1.628,D,64.5742
1.628,D,64.5748
1.628,D,64.5749
1.828,D,64.5748
1.828,D,64.5745
1.828,D,64.5743
1.828,D,64.5741
1.828,D,64.5739
2.030,D,64.5737
2.030,D,64.5735
2.030,D,64.5732
2.030,D,64.5730
2.233,D,64.5728
2.233,D,64.5726
2.233,D,64.5725
2.233,D,64.5724
2.233,D,64.5723
2.434,D,64.5723
2.434,D,64.5721
2.434,D,64.5720
2.434,D,64.5720
2.434,D,64.5720
2.636,D,64.5719
2.636,D,64.5719
2.636,D,64.5719
2.636,D,64.5719
2.839,D,64.5719
2.839,D,64.5719
2.839,D,64.5719
2.839,D,64.5719
2.839,D,64.5718
3.046,D,64.5718
3.046,D,64.5717
3.046,D,64.5717
3.046,D,64.5717
3.046,D,64.5717
3.253,D,64.5717
3.253,D,64.5717
3.253,D,64.5717
3.253,D,64.5717
3.253,D,64.5717
3.464,D,64.5717
3.464,D,64.5717
3.464,D,64.5717
3.464,D,64.5717
3.671,D,64.5717
3.671,D,64.5717
3.671,D,64.5716
3.671,D,64.5716
3.671,D,64.5716
3.879,D,64.5716
3.879,D,64.5716
3.879,D,64.5716
3.879,D,64.5716
3.879,D,64.5716
4.087,D,64.5716
4.087,D,64.5716
4.087,D,64.5716
4.087,D,64.5716
4.087,D,64.5716
4.294,D,64.5716
4.294,D,64.5716
4.294,D,64.5716
4.294,D,64.5716
4.501,D,64.5715
4.501,D,64.5715
4.501,D,64.5715
4.501,D,64.5715
4.501,D,64.5715
4.709,D,64.5715
4.709,D,64.5715
4.709,D,64.5715
4.709,D,64.5715
4.710,D,64.5715
4.911,D,64.5715
4.911,D,64.5715
4.911,D,64.5715
4.911,D,64.5715
5.114,D,64.5715
5.114,D,64.5715
5.114,D,64.5715
5.114,D,64.5715
5.114,D,64.5715
5.317,D,64.5715
5.317,D,64.5715
5.317,D,64.5715
5.317,D,64.5714
5.317,D,64.5714
5.518,D,64.6160
5.518,D,64.6168
5.518,D,64.6169
5.518,D,64.6169
5.722,D,64.6167
5.722,D,64.6164
5.722,D,64.6162
5.723,D,64.6160
5.723,D,64.6158
5.924,D,64.6155
5.924,D,64.6153
5.924,D,64.6151
5.924,D,64.6149
5.924,D,64.6148
6.128,D,64.6147
6.128,D,64.6146
6.128,D,64.6145
6.128,D,64.6144
6.332,D,64.6143
6.332,D,64.6142
6.332,D,64.6141
6.332,D,64.6140
6.332,D,64.6140
6.534,D,64.6140
6.534,D,64.6140
6.534,D,64.6140
6.534,D,64.6139
6.534,D,64.6139
6.735,D,64.6139
6.735,D,64.6139
6.735,D,64.6139
6.735,D,64.6138
6.939,D,64.6138
6.939,D,64.6138
6.939,D,64.6138
6.939,D,64.6138
6.939,D,64.6138
7.140,D,64.6138
7.140,D,64.6138
7.140,D,64.6138
7.140,D,64.6138
7.342,D,64.6138
7.342,D,64.6138
7.342,D,64.6138
7.342,D,64.6138
7.342,D,64.6137
7.543,D,64.6137
7.543,D,64.6137
7.543,D,64.6137
7.543,D,64.6137
7.747,D,64.6137
7.747,D,64.6137
7.747,D,64.6137
7.747,D,64.6137
7.747,D,64.6137
7.949,D,64.6137
7.949,D,64.6137
7.949,D,64.6137
7.949,D,64.6137
7.949,D,64.6137
8.151,D,64.6137
8.151,D,64.6137
8.151,D,64.6137
8.151,D,64.6137
8.151,D,64.6137
8.353,D,64.6137
8.353,D,64.6137
8.353,D,64.6137
8.353,D,64.6137
8.555,D,64.6137
8.555,D,64.6137
8.555,D,64.6137
8.555,D,64.6137
8.555,D,64.6137
8.760,D,64.6137
8.760,D,64.6137
8.760,D,64.6137
8.760,D,64.6137
8.760,D,64.6137
8.962,D,64.6137
8.962,D,64.6137
8.962,D,64.6137
8.962,D,64.6137
9.165,D,64.6137
9.165,D,64.6137
9.165,D,64.6137
9.165,D,64.6137
9.165,D,64.6137
9.369,D,64.6188
9.369,D,64.6579
9.369,D,64.6589
9.369,D,64.6593
9.570,D,64.6594
9.570,D,64.6592
9.570,D,64.6589
9.570,D,64.6586
9.570,D,64.6584
9.774,D,64.6581
9.774,D,64.6578
9.774,D,64.6576
9.774,D,64.6574
9.774,D,64.6573
9.976,D,64.6571
9.977,D,64.6570
9.977,D,64.6569
9.977,D,64.6568
10.180,D,64.6567
10.180,D,64.6567
10.180,D,64.6566
10.180,D,64.6564
10.180,D,64.6564
10.383,D,64.6564
10.383,D,64.6563
10.383,D,64.6563
10.383,D,64.6563
10.383,D,64.6563
10.584,D,64.6563
10.584,D,64.6563
10.584,D,64.6563
10.584,D,64.6563
10.790,D,64.6563
10.790,D,64.6563
10.790,D,64.6563
10.790,D,64.6563
10.790,D,64.6563
10.999,D,64.6563
10.999,D,64.6563
10.999,D,64.6563
10.999,D,64.6563
10.999,D,64.6563
11.206,D,64.6562
11.206,D,64.6562
11.206,D,64.6562
11.206,D,64.6562
11.414,D,64.6562
11.414,D,64.6562
11.414,D,64.6562
11.414,D,64.6562
11.414,D,64.6562
11.622,D,64.6562
11.622,D,64.6562
11.622,D,64.6562
11.622,D,64.6562
11.622,D,64.6562
11.830,D,64.6562
11.830,D,64.6562
11.830,D,64.6562
11.830,D,64.6562
11.830,D,64.6562
12.037,D,64.6562
12.037,D,64.6562
12.037,D,64.6562
12.037,D,64.6562
12.037,D,64.6562
12.247,D,64.6562
12.247,D,64.6562
12.247,D,64.6562
12.247,D,64.6562
12.455,D,64.6562
12.455,D,64.6562
12.455,D,64.6562
12.455,D,64.6562
12.455,D,64.6562
12.663,D,64.6562
12.663,D,64.6562
12.663,D,64.6562
12.663,D,64.6562
12.663,D,64.6562
12.868,D,64.6562
12.868,D,64.6562
12.868,D,64.6562
12.868,D,64.6562
12.868,D,64.6562
13.071,D,64.6561
13.071,D,64.6561
13.071,D,64.6561
13.071,D,64.6562
13.275,D,64.6722
13.275,D,64.7008
13.275,D,64.7016
13.275,D,64.7019
13.275,D,64.7019
13.480,D,64.7016
13.480,D,64.7013
13.481,D,64.7011
13.481,D,64.7009
13.682,D,64.7007
13.682,D,64.7005
13.682,D,64.7002
13.682,D,64.7000
13.682,D,64.6997
13.887,D,64.6995
13.887,D,64.6994
13.887,D,64.6993
13.887,D,64.6992
13.887,D,64.6991
14.093,D,64.6991
14.093,D,64.6989
14.093,D,64.6988
14.093,D,64.6987
14.300,D,64.6987
14.300,D,64.6987
14.300,D,64.6986
14.300,D,64.6986
14.300,D,64.6987
14.502,D,64.6987
14.502,D,64.6987
14.502,D,64.6987
14.502,D,64.6987
14.502,D,64.6987
14.710,D,64.6987
14.710,D,64.6986
14.710,D,64.6985
14.710,D,64.6985
14.710,D,64.6985
14.917,D,64.6986
14.917,D,64.6986
14.917,D,64.6986
14.917,D,64.6986
15.124,D,64.6986
15.124,D,64.6986
15.124,D,64.6985
15.124,D,64.6985
15.124,D,64.6985
15.330,D,64.6985
15.330,D,64.6985
15.330,D,64.6985
15.330,D,64.6985
15.330,D,64.6985
15.538,D,64.6985
15.538,D,64.6985
15.538,D,64.6985
15.538,D,64.6985
15.538,D,64.6985
15.740,D,64.6985
15.740,D,64.6985
15.740,D,64.6985
15.740,D,64.6985
15.946,D,64.6985
15.946,D,64.6985
15.946,D,64.6985
15.946,D,64.6985
15.946,D,64.6985
16.153,D,64.6985
16.153,D,64.6985
16.153,D,64.6985
16.153,D,64.6985
16.153,D,64.6984
16.361,D,64.6984
16.361,D,64.6984
16.361,D,64.6984
16.361,D,64.6984
16.361,D,64.6984
16.565,D,64.6984
16.565,D,64.6984
16.565,D,64.6984
16.565,D,64.6984
16.771,D,64.6984
16.772,D,64.6984
16.772,D,64.6984
16.772,D,64.6984
16.772,D,64.6984
16.975,D,64.6984
16.975,D,64.6984
16.975,D,64.6984
16.975,D,64.6984
17.179,D,64.7257
17.179,D,64.7430
17.179,D,64.7439
17.179,D,64.7442
17.179,D,64.7441
17.384,D,64.7437
17.384,D,64.7434
17.384,D,64.7431
17.384,D,64.7428
17.384,D,64.7425
