t_ms,mass_g,status
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
508,13.6478,D
1013,13.6478,D
1013,13.6478,D
1013,13.6478,D
1013,13.6478,D
1013,13.6477,D
1013,13.6477,D
1013,13.6477,D
1013,13.6477,D
1013,13.6477,D
1013,13.6477,D
1013,13.6477,D
1013,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
1513,13.6477,D
2013,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2014,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
2518,13.6477,D
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3033,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3541,13.6477,S
3542,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6477,S
4051,13.6660,D
4051,13.6914,D
4051,13.6919,D
4559,13.6920,D
4559,13.6918,D
4559,13.6913,D
4559,13.6908,D
4559,13.6908,D
4559,13.6911,D
4559,13.6915,D
4559,13.6918,D
4559,13.6919,D
4559,13.6918,D
4559,13.6916,D
4559,13.6914,D
5064,13.6912,D
5064,13.6910,D
5064,13.6909,D
5064,13.6907,D
5064,13.6905,D
5064,13.6904,D
5064,13.6903,D
5064,13.6901,D
5064,13.6901,D
5064,13.6900,D
5064,13.6899,D
5570,13.6899,D
5570,13.6899,D
5570,13.6899,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
5570,13.6898,D
6071,13.6898,D
6071,13.6898,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6071,13.6897,D
6575,13.6897,D
6575,13.6897,D
6575,13.6897,D
6575,13.6897,D
