t_ms,mass_g,status
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6179,D
564,0.6178,D
564,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1073,0.6178,D
1585,0.6178,D
1585,0.6178,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
1585,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2091,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
2603,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3117,0.6177,D
3619,0.6177,D
3619,0.6177,D
3619,0.6177,D
3619,0.6177,D
3619,0.6177,D
3619,0.6177,D
3619,0.6177,D
3619,0.6177,S
3619,0.6177,S
3619,0.6177,S
3619,0.6177,S
3619,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6177,S
4120,0.6382,D
4120,0.6607,D
4120,0.6619,D
4631,0.6623,D
4631,0.6623,D
4631,0.6622,D
4631,0.6620,D
4631,0.6616,D
4631,0.6613,D
4631,0.6610,D
4631,0.6607,D
4631,0.6605,D
4631,0.6602,D
4631,0.6601,D
4631,0.6599,D
5141,0.6598,D
5141,0.6597,D
5141,0.6597,D
5142,0.6596,D
5142,0.6595,D
5142,0.6595,D
5142,0.6592,D
5142,0.6592,D
5142,0.6591,D
5142,0.6591,D
5142,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6591,D
5651,0.6590,D
5651,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6156,0.6589,D
6671,0.6589,D
6671,0.6589,D
6671,0.6589,D
6671,0.6589,D
6671,0.6589,D
6671,0.6589,D
6671,0.6588,D
6671,0.6588,D
6671,0.6588,D
6671,0.6588,D
6671,0.6588,D
6671,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6588,D
7186,0.6587,D
7186,0.6587,D
7186,0.6587,D
7186,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
7689,0.6587,D
8203,0.6587,D
8203,0.6587,D
8203,0.6587,D
8203,0.6587,D
8203,0.6586,D
8203,0.6586,D
8203,0.6586,D
8203,0.6586,D
8203,0.6586,D
8203,0.6586,D
8203,0.6586,D
8203,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6586,D
8715,0.6585,D
9228,0.6585,D
9229,0.6585,D
9229,0.6584,D
9229,0.6582,D
9229,0.6582,D
9229,0.6581,D
9229,0.6582,D
9229,0.6582,D
9229,0.6582,D
9229,0.6582,D
9229,0.6583,D
9229,0.6583,D
9743,0.6583,D
9743,0.6584,D
9743,0.6584,D
9743,0.6584,D
9743,0.6584,D
9743,0.6585,D
9743,0.6585,D
9743,0.6585,D
9743,0.6585,D
9743,0.6585,D
9743,0.6585,D
9743,0.6585,D
10256,0.6585,D
10256,0.6585,D
10256,0.6584,D
10256,0.6584,D
10256,0.6584,D
10256,0.6583,D
10256,0.6583,D
10256,0.6770,D
10256,0.7033,D
10256,0.7042,D
10256,0.7045,D
10256,0.7021,D
10769,0.6959,D
10769,0.6922,D
10769,0.6926,D
10769,0.6954,D
10769,0.6984,D
10769,0.7009,D
10769,0.7025,D
10769,0.7035,D
10769,0.7039,D
10769,0.7040,D
10769,0.7038,D
11285,0.7035,D
11285,0.7031,D
11285,0.7027,D
11285,0.7023,D
11285,0.7020,D
11285,0.7016,D
11285,0.7013,D
11285,0.6999,D
11285,0.6992,D
11285,0.6989,D
11285,0.6987,D
11285,0.6986,D
11785,0.6987,D
11785,0.6988,D
11785,0.6989,D
11785,0.6990,D
11785,0.6991,D
11785,0.6991,D
11785,0.6992,D
11785,0.6992,D
11785,0.6992,D
11785,0.6993,D
11785,0.6993,D
11785,0.6993,D
12286,0.6993,D
12286,0.6993,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12286,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
12788,0.6992,D
13290,0.6992,D
13290,0.6992,D
13290,0.6992,D
13290,0.6992,D
13290,0.6992,D
13290,0.6991,D
13290,0.6991,D
13290,0.6991,D
13290,0.6991,D
13290,0.6991,D
13290,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6991,D
13805,0.6990,D
13805,0.6990,D
13805,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14310,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14818,0.6990,D
14819,0.6990,D
14819,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15325,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
15837,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.6990,D
16341,0.7039,D
16341,0.7424,D
16341,0.7433,D
16841,0.7436,D
16841,0.7435,D
16841,0.7434,D
16841,0.7432,D
16841,0.7430,D
16841,0.7427,D
16841,0.7425,D
16841,0.7424,D
16841,0.7422,D
16841,0.7420,D
16841,0.7418,D
17343,0.7416,D
17343,0.7414,D
17343,0.7412,D
17343,0.7411,D
17343,0.7411,D
17343,0.7410,D
17343,0.7410,D
17343,0.7410,D
17343,0.7410,D
17343,0.7410,D
17343,0.7409,D
17343,0.7408,D
17848,0.7408,D
17848,0.7408,D
17848,0.7408,D
17848,0.7407,D
17848,0.7407,D
17848,0.7407,D
17848,0.7407,D
17848,0.7406,D
17848,0.7406,D
17848,0.7406,D
17848,0.7406,D
18356,0.7406,D
18356,0.7406,D
18356,0.7407,D
18356,0.7407,D
18356,0.7407,D
18356,0.7407,D
18356,0.7407,D
18356,0.7408,D
18356,0.7408,D
18356,0.7409,D
18356,0.7410,D
18356,0.7411,D
18865,0.7412,D
18865,0.7412,D
18865,0.7413,D
18865,0.7413,D
18865,0.7414,D
18865,0.7414,D
18865,0.7414,D
18865,0.7413,D
18865,0.7413,D
18865,0.7413,D
18866,0.7413,D
18866,0.7412,D
19374,0.7412,D
19374,0.7412,D
19374,0.7408,D
19374,0.7407,D
19374,0.7406,D
19374,0.7406,D
19374,0.7406,D
19374,0.7406,D
19374,0.7406,D
19374,0.7406,D
19374,0.7406,D
19883,0.7406,D
19884,0.7406,D
19884,0.7406,D
19884,0.7406,D
19884,0.7405,D
19884,0.7405,D
19884,0.7406,D
19884,0.7406,D
19884,0.7406,D
19884,0.7406,D
19884,0.7406,D
19884,0.7406,D
20398,0.7406,D
20399,0.7406,D
20399,0.7406,D
20399,0.7407,D
20399,0.7407,D
20399,0.7407,D
20399,0.7407,D
20399,0.7407,D
20399,0.7407,D
20399,0.7408,D
20399,0.7408,D
20399,0.7408,D
20911,0.7408,D
20911,0.7408,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
20911,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7409,D
21426,0.7408,D
21426,0.7408,D
21940,0.7408,D
21940,0.7408,D
21940,0.7408,D
21940,0.7408,D
21940,0.7402,D
21940,0.7402,D
21940,0.7402,D
21940,0.7402,D
21940,0.7403,D
21940,0.7403,D
21940,0.7403,D
21940,0.7404,D
22454,0.7404,D
22454,0.7404,D
22454,0.7404,D
22454,0.7405,D
22454,0.7405,D
22454,0.7405,D
22454,0.7405,D
22454,0.7405,D
22454,0.7405,D
22454,0.7455,D
22454,0.7837,D
22454,0.7844,D
22969,0.7846,D
22969,0.7845,D
22969,0.7843,D
22969,0.7842,D
22969,0.7839,D
22969,0.7837,D
22969,0.7834,D
22969,0.7832,D
22969,0.7830,D
22969,0.7829,D
22969,0.7827,D
22969,0.7826,D
23484,0.7825,D
23484,0.7824,D
23484,0.7823,D
23484,0.7822,D
23484,0.7822,D
23484,0.7821,D
23484,0.7820,D
23484,0.7820,D
23484,0.7819,D
23485,0.7819,D
23485,0.7819,D
23990,0.7819,D
23990,0.7819,D
23990,0.7819,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
23990,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
24503,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25017,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
25520,0.7818,D
26030,0.7818,D
26030,0.7818,D
26030,0.7818,D
26030,0.7817,D
26030,0.7816,D
26030,0.7816,D
26030,0.7816,D
26030,0.7816,D
26030,0.7816,D
26030,0.7816,D
26030,0.7816,D
26030,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
26534,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27045,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
27559,0.7816,D
28074,0.7816,D
28074,0.7816,D
28074,0.7817,D
28074,0.7817,S
28074,0.7817,S
28074,0.7817,S
28074,0.7817,D
28074,0.7817,D
28074,0.7817,D
28074,0.7817,D
28074,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7817,D
28574,0.7867,D
28574,0.8251,D
29077,0.8262,D
29077,0.8266,D
29077,0.8265,D
29077,0.8264,D
29077,0.8262,D
29077,0.8259,D
29077,0.8257,D
29077,0.8254,D
29077,0.8252,D
