Comment,Description,Designator,Footprint,LibRef,Quantity

"GCM188R71H104KA57J","CAP CER 0.1UF 50V X7R 0603","C1, C2, C7, C8, C21","FP-GCM188-0_1-IPC_A","CMP-2006-02376-2","5"
"GRM21BR71C475KE51L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 10%, 16V","C3","FP-GRM21B-0_15-IPC_C","CMP-06035-004324-1","1"
"GCM188R71C104KA37J","","C4, C18, C19, C20","CAPC1608X90X35LL10T15","CMP-2006-02356-1","4"
"GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C5","FP-GRM188-0_1-e0_2_0_55-IPC_A","CMP-2006-02792-2","1"
"GRM21BR60J226ME39L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 6.3V","C6","FP-GRM21B-0_15-MFG","CMP-2007-03385-2","1"
"GCM188R71C105KA64D","Ceramic Capacitor for Automotive 1uF  ±10% 16VDC X7R 0603 Paper T/R","C9","FP-GCM188-0_1-IPC_B","CMP-2006-02357-2","1"
"CAP 8pF 50V 0402(1005)","CAP 8pF 50V ±0.05pF 0402 (1005 Metric) Thickness 0.6mm SMD","C10, C11","CAPC0402(1005)60_M","CMP-1034-00582-1","2"
"CL10B104KB8NNNC","Capacitor","C12, C13, C14, C15, C16","CAPC1608X90N","CL10B104KB8NNNC","5"
"GRM188R71C104KA01D","CAP, Ceramic, 0.1 uF, 10%, 16 V, 0603, RoHS, Tape and Reel","C17","MURA-0603_H_0.9_M","CMP-2000-05253-1","1"
"SS14","DIODE SCHOTTKY 40V 1A SMA","D1","FP-403AE-MFG","CMP-2000-04943-2","1"
"TPS610981DSET","Integrated Circuit","IC1","SON50P150X150X80-6N","TPS610981DSER","1"
"501331-0207","Connector","J1, J2","501331-0207","501331-0207","2"
"M20-9990445","M20-9990445 Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole Bulk/Loose","J3","FP-M20-9990445-MFG","CMP-00671-05399696-1","1"
"M20-9980746","Connector","J4","M209980746","M20-9980746","1"
"IHLL0806AZEZ4R7M1Z","Inductor","L1","INDC2016X100N","IHLL0806AZEZ4R7M1Z","1"
"PS1240P02BT","Loudspeaker or Buzzer","LS1","PS1240P02BT","PS1240P02BT","1"
"FDN337N","MOSFET N-CH 30V 2.2A SSOT3","Q1, Q2","FP-527AG-MFG","CMP-2000-06250-2","2"
"RC0603FR-07100RL","","R1, R3, R14, R24","FP-RC0603-0_55-MFG","CMP-2100-03663-2","4"
"RC0603FR-07100KL","RES SMD 100K OHM 1% 1/10W 0603","R2, R7, R17, R18","FP-RC0603-0_55-MFG","CMP-2100-03662-2","4"
"RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","R4, R8, R9, R10, R11, R12, R13, R15, R21, R22","FP-RC0603-0_55-IPC_C","CMP-2100-03664-2","10"
"RC0603FR-073K3L","","R5","FP-RC0603-0_55-MFG","CMP-1012-00567-3","1"
"RC0603FR-0747KL","RES SMD 47K OHM 1% 1/10W 0603","R6, R19","FP-RC0603FR-0747KL-MFG","CMP-1659-00055-2","2"
"RT1206BRD07400RL","Resistor","R16","RESC3116X65N","RT1206BRD07400RL","1"
"RC0603FR-071ML","Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R20","RESC1608X55X25LL10T15","CMP-1659-00056-1","1"
"330K 1% 0603(1608)","330K 0.1W 1% 0603 (1608 Metric)  SMD","R23","RESC0603(1608)_M","CMP-1012-00793-1","1"
"SLW-129956-4A-RA-N-D","Switch","S1","SLW1299564ARAND","SLW-129956-4A-RA-N-D","1"
"TS04-66-50-BK-260-SMT","Switch","S2, S3, S4, S5, S6","TS046650BK260SMT","TS04-66-50-BK-260-SMT","5"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9","KSTN-5003","CMP-002-00037-2","9"
"STM32G030C8T6","IC MCU 32BIT 64KB FLASH 48LQFP","U1","FP-LQFP48-5B-IPC_A","CMP-12105-000142-1","1"
"LMV331SN3T1G","Single General Purpose, Low Voltage Comparator, 2.7 to 5 V, -40 to 85 degC, 5-Pin TSOP, Pb-Free, Tape and Reel","U2","ONSC-TSOP-5-483-02_V","CMP-1305-00067-1","1"
"12BH311P-R-GR","Undefined or Miscellaneous","U3","12BH311PRGR","12BH311P-R-GR","1"
"ABS07-32.768KHZ-T","Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70k? 2-Pin CSMD T/R","Y1","FP-ABS07-MFG","CMP-0447-00001-4","1"
