Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","SFN-1407PA7.6","Buzzer_S&S_SFN-1407PA7.6",149.982500,-115.525000,-90.000000,top
"C1","10uF","C_0603_1608Metric",152.320000,-108.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",152.320000,-109.500000,180.000000,top
"C3","100nF","C_0603_1608Metric",152.345000,-106.500000,180.000000,top
"C4","22uF","C_0603_1608Metric",152.345000,-103.000000,180.000000,top
"C5","100nF","C_0603_1608Metric",162.070000,-120.250000,180.000000,top
"C6","20pF","C_0603_1608Metric",176.070000,-115.750000,180.000000,top
"C7","20pF","C_0603_1608Metric",176.070000,-113.750000,180.000000,top
"C8","100pF","C_0603_1608Metric",182.819999,-112.111034,-90.000000,top
"C9","0.1uF","C_0603_1608Metric",160.000000,-98.975000,-90.000000,top
"C10","0.1uF","C_0603_1608Metric",173.732500,-108.500000,0.000000,top
"C11","1uF","C_0603_1608Metric",173.707500,-110.000000,180.000000,top
"C12","0.1uF","C_0603_1608Metric",173.732500,-111.500000,180.000000,top
"C13","100pF","C_0603_1608Metric",182.820000,-102.000000,-90.000000,top
"C14","100nF","C_0603_1608Metric",161.500000,-98.975000,-90.000000,top
"C15","4700nF","C_0603_1608Metric",158.500000,-99.000000,90.000000,top
"C16","1000nF","C_0603_1608Metric",157.000000,-98.975000,90.000000,top
"J1","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",163.780000,-123.250000,90.000000,top
"J2","Conn_01x02_Socket_TOP","PinSocket_1x02_P2.54mm_Vertical",183.845000,-115.500000,0.000000,top
"J3","Conn_01x02_Socket_BOT","PinSocket_1x02_P2.54mm_Vertical",183.845000,-105.500000,0.000000,top
"J4","Conn_01x06_Socket","Jushuo_AFC07-S06FCA-00_1x6-1MP_P0.50_Horizontal",186.120000,-131.250000,90.000000,top
"L1","4.7uH","L_0805_2012Metric",149.257500,-104.750000,0.000000,top
"Q1","2N7002","SOT-23",172.570000,-133.500000,180.000000,top
"Q2","2N7002","SOT-23",181.320000,-133.000000,180.000000,top
"Q3","AO3401A","SOT-23",148.820000,-109.000000,180.000000,top
"Q4","2N7002","SOT-23",158.482500,-123.250000,180.000000,top
"R1","100Ω","R_0603_1608Metric",173.070000,-131.000000,0.000000,top
"R2","100kΩ","R_0603_1608Metric",170.570000,-135.750000,90.000000,top
"R3","100Ω","R_0603_1608Metric",170.570000,-131.250000,90.000000,top
"R4","100Ω","R_0603_1608Metric",181.820000,-130.500000,0.000000,top
"R5","390Ohm","R_0603_1608Metric",149.320000,-106.500000,0.000000,top
"R6","100kΩ","R_0603_1608Metric",179.320000,-135.250000,90.000000,top
"R7","100Ω","R_0603_1608Metric",179.320000,-130.750000,90.000000,top
"R8","100k","R_0603_1608Metric",152.320000,-111.000000,0.000000,top
"R9","100k","R_0603_1608Metric",157.070000,-107.250000,-90.000000,top
"R10","100k","R_0603_1608Metric",157.070000,-110.250000,-90.000000,top
"R11","10kΩ","R_0603_1608Metric",172.070000,-118.750000,0.000000,top
"R12","10kΩ","R_0603_1608Metric",170.570000,-126.500000,0.000000,top
"R13","3.3kΩ","R_0603_1608Metric",186.320000,-115.250000,-90.000000,top
"R14","100Ω","R_0603_1608Metric",181.320000,-115.250000,-90.000000,top
"R15","3.3kΩ","R_0603_1608Metric",186.320000,-105.425000,-90.000000,top
"R16","100Ω","R_0603_1608Metric",181.320000,-105.250000,-90.000000,top
"R17","1800Ω","R_0603_1608Metric",157.320000,-114.250000,0.000000,top
"R18","100Ω","R_0603_1608Metric",158.232500,-120.000000,90.000000,top
"R19","10kΩ","R_0603_1608Metric",158.232500,-116.750000,-90.000000,top
"SW1","SK12D07VG5","X_SW_Slide_SPDT_SSK12D07VG5",144.257500,-105.500000,-90.000000,top
"TP1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",178.070000,-105.000000,0.000000,top
"TP2","TestPoint","TestPoint_Keystone_5000-5004_Miniature",172.570000,-104.250000,0.000000,top
"U1","TPS610981DSET","DSE0006A",152.282501,-104.750001,0.000000,top
"U2","STM32G071C8Tx","LQFP-48_7x7mm_P0.5mm",166.732500,-112.500000,180.000000,top
"Y1","Crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",173.320000,-114.750000,90.000000,top
